#Gumbel
#Console: python /galaxy/home/delphinel/miniconda3/envs/tnseq/bin/transit gumbel bedgraphs_no_mismatch/joined/blunt_SRR6289492_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289493_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289494_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289495_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289496_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289497_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289498_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289499_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289500_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289501_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289502_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289503_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289504_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289505_both.tab NCTC8325.prot_table transit_no_mismatch/mean_all_blunt.tab -s 20000 -b 1000 -r Mean --no-norm
#Data: bedgraphs_no_mismatch/joined/blunt_SRR6289492_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289493_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289494_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289495_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289496_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289497_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289498_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289499_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289500_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289501_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289502_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289503_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289504_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289505_both.tab
#Annotation path: NCTC8325.prot_table
#FDR Corrected thresholds: 0.993300, 0.045050
#MH Acceptance-Rate:	37.77%
#Total Iterations Performed:	20999
#Sample Size:	20000
#phi estimate:	0.249516
#Time: 804.361941099
#Orf	Name	Desc	k	n	r	s	zbar	Call
SAOUHSC_00022	SAOUHSC_00022	conserved hypothetical protein	75	107	4	32	0.000000	NE
SAOUHSC_00023	SAOUHSC_00023	conserved hypothetical protein	45	73	4	16	0.000000	NE
SAOUHSC_00024	SAOUHSC_00024	conserved hypothetical protein	52	74	3	13	0.000000	NE
SAOUHSC_00025	SAOUHSC_00025	conserved hypothetical protein	121	185	5	63	0.000000	NE
SAOUHSC_00026	SAOUHSC_00026	conserved hypothetical protein	19	28	2	5	0.000000	NE
SAOUHSC_00027	SAOUHSC_00027	SPOUT methyltransferase family protein%3B crystal structure shows homodimer%3B in Escherichia coli this protein methylates pseudouridine at position 1915 of the 23S ribosomal RNA	21	29	2	5	0.000000	NE
SAOUHSC_00028	SAOUHSC_00028	-	13	17	2	5	-1.000000	S
SAOUHSC_00029	SAOUHSC_00029	conserved hypothetical protein	5	9	2	5	-1.000000	S
SAOUHSC_00030	SAOUHSC_00030	conserved hypothetical protein	184	221	3	22	0.000000	NE
SAOUHSC_00031	SAOUHSC_00031	conserved hypothetical protein	18	28	3	15	0.000000	NE
SAOUHSC_00032	SAOUHSC_00032	conserved hypothetical protein	13	16	2	8	-1.000000	S
SAOUHSC_00033	SAOUHSC_00033	conserved hypothetical protein	86	102	2	11	0.000000	NE
SAOUHSC_00034	SAOUHSC_00034	conserved hypothetical protein	17	25	4	44	0.000000	NE
SAOUHSC_00035	SAOUHSC_00035	conserved hypothetical protein	75	102	3	27	0.000000	NE
SAOUHSC_00036	SAOUHSC_00036	conserved hypothetical protein	92	125	2	5	0.000000	NE
SAOUHSC_00037	SAOUHSC_00037	conserved hypothetical protein	101	137	5	34	0.000000	NE
SAOUHSC_00038	SAOUHSC_00038	conserved hypothetical protein	6	9	1	2	-1.000000	S
SAOUHSC_00039	SAOUHSC_00039	conserved hypothetical protein	40	62	4	45	0.000000	NE
SAOUHSC_00040	SAOUHSC_00040	conserved hypothetical protein	17	26	3	23	0.000000	NE
SAOUHSC_00041	SAOUHSC_00041	conserved hypothetical protein	21	29	2	28	0.000000	NE
SAOUHSC_00042	SAOUHSC_00042	conserved hypothetical protein	119	145	2	8	0.000000	NE
SAOUHSC_00043	SAOUHSC_00043	conserved hypothetical protein	34	49	3	23	0.000000	NE
SAOUHSC_00044	SAOUHSC_00044	conserved hypothetical protein	80	101	2	13	0.000000	NE
SAOUHSC_00045	SAOUHSC_00045	conserved hypothetical protein	47	62	3	32	0.000000	NE
SAOUHSC_00046	SAOUHSC_00046	conserved hypothetical protein	75	96	4	23	0.000000	NE
SAOUHSC_00047	SAOUHSC_00047	conserved hypothetical protein	56	72	2	14	0.000000	NE
SAOUHSC_00049	SAOUHSC_00049	conserved hypothetical protein	223	289	3	61	0.000000	NE
SAOUHSC_00050	SAOUHSC_00050	conserved hypothetical protein	33	46	4	34	0.000000	NE
SAOUHSC_00051	SAOUHSC_00051	1-phosphatidylinositol phosphodiesterase precursor%2C putative	66	96	5	32	0.000000	NE
SAOUHSC_00052	SAOUHSC_00052	conserved hypothetical protein	64	84	4	65	0.000000	NE
SAOUHSC_00053	SAOUHSC_00053	conserved hypothetical protein	63	81	2	24	0.000000	NE
SAOUHSC_00054	SAOUHSC_00054	conserved hypothetical protein	61	74	3	20	0.000000	NE
SAOUHSC_00055	SAOUHSC_00055	conserved hypothetical protein	60	79	2	24	0.000000	NE
SAOUHSC_00056	SAOUHSC_00056	conserved hypothetical protein	144	179	2	9	0.000000	NE
SAOUHSC_00057	SAOUHSC_00057	conserved hypothetical protein	59	84	3	22	0.000000	NE
SAOUHSC_00058	SAOUHSC_00058	conserved hypothetical protein	94	129	3	18	0.000000	NE
SAOUHSC_00060	SAOUHSC_00060	conserved hypothetical protein	96	140	4	32	0.000000	NE
SAOUHSC_00061	SAOUHSC_00061	in group A Streptococci this protein was found to cross react with anti myosin antibodies and may play a role in rheumatic fever	107	151	5	55	0.000000	NE
SAOUHSC_00062	SAOUHSC_00062	conserved hypothetical protein	79	103	3	13	0.000000	NE
SAOUHSC_00064	SAOUHSC_00064	conserved hypothetical protein	133	169	3	30	0.000000	NE
SAOUHSC_00065	SAOUHSC_00065	conserved hypothetical protein	49	57	1	2	0.000000	NE
SAOUHSC_00067	SAOUHSC_00067	L-lactate permease	113	148	3	24	0.000000	NE
SAOUHSC_00069	SAOUHSC_00069	protein A	61	91	3	38	0.000000	NE
SAOUHSC_00070	SAOUHSC_00070	staphylococcal accessory regulator-like protein	62	72	2	13	0.000000	NE
SAOUHSC_00071	SAOUHSC_00071	lipoprotein%2C SirC%2C putative	78	90	2	8	0.000000	NE
SAOUHSC_00072	SAOUHSC_00072	lipoprotein%2C SirB%2C putative	67	89	4	23	0.000000	NE
SAOUHSC_00074	SAOUHSC_00074	periplasmic binding protein%2C putative	62	84	5	62	0.000000	NE
SAOUHSC_00075	SAOUHSC_00075	conserved hypothetical protein	48	61	3	17	0.000000	NE
SAOUHSC_00076	SAOUHSC_00076	ornithine cyclodeaminase%2C putative	60	79	3	20	0.000000	NE
SAOUHSC_00077	SAOUHSC_00077	conserved hypothetical protein	99	151	6	59	0.000000	NE
SAOUHSC_00078	SAOUHSC_00078	conserved hypothetical protein	83	108	4	30	0.000000	NE
SAOUHSC_00079	SAOUHSC_00079	conserved hypothetical protein	104	147	4	24	0.000000	NE
SAOUHSC_00080	SAOUHSC_00080	conserved hypothetical protein	113	154	3	28	0.000000	NE
SAOUHSC_00081	SAOUHSC_00081	conserved hypothetical protein	42	57	3	43	0.000000	NE
SAOUHSC_00082	SAOUHSC_00082	conserved hypothetical protein	68	89	4	60	0.000000	NE
SAOUHSC_00083	SAOUHSC_00083	conserved hypothetical protein	49	59	2	13	0.000000	NE
SAOUHSC_00084	SAOUHSC_00084	conserved hypothetical protein	29	41	3	21	0.000000	NE
SAOUHSC_00085	SAOUHSC_00085	conserved hypothetical protein	58	69	3	13	0.000000	NE
SAOUHSC_00086	SAOUHSC_00086	3-ketoacyl-acyl carrier protein reductase%2C putative	35	48	3	47	0.000000	NE
SAOUHSC_00087	SAOUHSC_00087	conserved hypothetical protein	8	15	7	51	-1.000000	S
SAOUHSC_00088	SAOUHSC_00088	conserved hypothetical protein	81	99	2	7	0.000000	NE
SAOUHSC_00089	SAOUHSC_00089	conserved hypothetical protein	45	66	5	34	0.000000	NE
SAOUHSC_00090	SAOUHSC_00090	conserved hypothetical protein	81	110	6	43	0.000000	NE
SAOUHSC_00091	SAOUHSC_00091	conserved hypothetical protein	120	147	4	38	0.000000	NE
SAOUHSC_00092	SAOUHSC_00092	conserved hypothetical protein	135	166	3	22	0.000000	NE
SAOUHSC_00093	SAOUHSC_00093	superoxide dismutase%2C putative	37	47	2	20	0.000000	NE
SAOUHSC_00094	SAOUHSC_00094	conserved hypothetical protein	38	46	2	22	0.000000	NE
SAOUHSC_00096	SAOUHSC_00096	transcriptional regulator%2C GntR family%2C putative	48	61	3	30	0.000000	NE
SAOUHSC_00097	SAOUHSC_00097	catalyzes the reversible phosphorolysis of ribonucleosides and 2'- deoxyribonucleosides to the free base and (2'-deoxy)ribose-1- phosphate	40	49	3	38	0.000000	NE
SAOUHSC_00099	SAOUHSC_00099	conserved hypothetical protein	122	159	2	6	0.000000	NE
SAOUHSC_00100	SAOUHSC_00100	catalyzes the formation of D-glyceraldehyde 3-phosphate and acetaldehyde from 2-deoxy-D-ribose-5-phosphate	34	39	1	2	0.000000	NE
SAOUHSC_00101	SAOUHSC_00101	catalyzes the transfer of phosphate between the C1 and C5 carbons of pentose	87	107	2	15	0.000000	NE
SAOUHSC_00102	SAOUHSC_00102	phosphonates ABC transporter%2C permease protein CC0363%2C putative	65	81	5	45	0.000000	NE
SAOUHSC_00103	SAOUHSC_00103	phosphonates ABC transporter%2C permease protein CC0363%2C putative	59	79	4	47	0.000000	NE
SAOUHSC_00104	SAOUHSC_00104	amino acid ABC transporter%2C ATP-binding protein%2C putative	54	68	2	23	0.000000	NE
SAOUHSC_00105	SAOUHSC_00105	phosphonate ABC transporter%2C substrate-binding protein%2C putative	55	82	4	44	0.000000	NE
SAOUHSC_00106	SAOUHSC_00106	conserved hypothetical protein	88	112	3	37	0.000000	NE
SAOUHSC_00107	SAOUHSC_00107	conserved hypothetical protein	98	132	3	18	0.000000	NE
SAOUHSC_00108	SAOUHSC_00108	conserved hypothetical protein	18	25	1	2	0.000000	NE
SAOUHSC_00109	SAOUHSC_00109	replication initiation protein%2C putative	36	47	4	30	0.000000	NE
SAOUHSC_00111	SAOUHSC_00111	-	23	38	8	73	0.000000	NE
SAOUHSC_00113	SAOUHSC_00113	alcohol dehydrogenase%2C iron-containing%2C putative	150	203	2	18	0.000000	NE
SAOUHSC_00114	SAOUHSC_00114	capsular polysaccharide biosynthesis protein%2C putative	52	70	4	17	0.000000	NE
SAOUHSC_00115	SAOUHSC_00115	capsular polysaccharide synthesis enzyme Cap5B	51	64	2	9	0.000000	NE
SAOUHSC_00116	SAOUHSC_00116	capsular polysaccharide synthesis enzyme Cap8C	50	73	4	27	0.000000	NE
SAOUHSC_00117	SAOUHSC_00117	capsular polysaccharide biosynthesis protein Cap5D%2C putative	116	156	3	27	0.000000	NE
SAOUHSC_00118	SAOUHSC_00118	capsular polysaccharide biosynthesis protein Cap5E%2C putative	60	87	4	62	0.000000	NE
SAOUHSC_00119	SAOUHSC_00119	capsular polysaccharide synthesis enzyme Cap8F	86	110	4	54	0.000000	NE
SAOUHSC_00120	SAOUHSC_00120	UDP-N-acetylglucosamine 2-epimerase	73	97	6	55	0.000000	NE
SAOUHSC_00121	SAOUHSC_00121	capsular polysaccharide synthesis enzyme O-acetyl transferase Cap5H%2C putative	43	57	2	21	0.000000	NE
SAOUHSC_00122	SAOUHSC_00122	capsular polysaccharide biosynthesis protein Cap5I%2C putative	93	121	2	11	0.000000	NE
SAOUHSC_00123	SAOUHSC_00123	capsular polysaccharide biosynthesis protein Cap5J%2C putative	136	155	3	20	0.000000	NE
SAOUHSC_00124	SAOUHSC_00124	capsular polysaccharide biosynthesis protein Cap5K%2C putative	131	165	3	16	0.000000	NE
SAOUHSC_00125	SAOUHSC_00125	cap5L protein/glycosyltransferase%2C putative	77	106	2	44	0.000000	NE
SAOUHSC_00126	SAOUHSC_00126	capsular polysaccharide biosynthesis protein Cap8M	45	56	2	15	0.000000	NE
SAOUHSC_00127	SAOUHSC_00127	cap5N protein/UDP-glucose 4-epimerase%2C putative	64	77	2	10	0.000000	NE
SAOUHSC_00128	SAOUHSC_00128	cap5O protein/UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase	86	107	3	29	0.000000	NE
SAOUHSC_00129	SAOUHSC_00129	UDP-N-acetylglucosamine 2-epimerase	65	86	4	34	0.000000	NE
SAOUHSC_00130	SAOUHSC_00130	iron regulated%3B catalyzes the release of heme from hemoglobin allowing bacterial pathogens to use the host heme as an iron source	27	31	2	9	0.000000	NE
SAOUHSC_00131	SAOUHSC_00131	conserved hypothetical protein	31	42	2	17	0.000000	NE
SAOUHSC_00132	SAOUHSC_00132	aldehyde dehydrogenase%2C putative	84	122	3	23	0.000000	NE
SAOUHSC_00133	SAOUHSC_00133	conserved hypothetical protein	69	86	3	24	0.000000	NE
SAOUHSC_00134	SAOUHSC_00134	conserved hypothetical protein	16	17	1	2	0.000000	NE
SAOUHSC_00135	SAOUHSC_00135	conserved hypothetical protein	37	42	1	2	0.000000	NE
SAOUHSC_00136	SAOUHSC_00136	conserved hypothetical protein	47	62	2	8	0.000000	NE
SAOUHSC_00137	SAOUHSC_00137	conserved hypothetical protein	60	76	4	35	0.000000	NE
SAOUHSC_00138	SAOUHSC_00138	conserved hypothetical protein	49	71	4	59	0.000000	NE
SAOUHSC_00139	SAOUHSC_00139	conserved hypothetical protein	58	75	3	47	0.000000	NE
SAOUHSC_00141	SAOUHSC_00141	conserved hypothetical protein	27	37	3	17	0.000000	NE
SAOUHSC_00142	SAOUHSC_00142	Catalyzes the reversible two-electron oxidation of formate to carbon dioxide. It allows the assimilation of carbon dioxide and provides energy for growth through oxidative phosphorylation coupled to the reduction of oxygen%2C nitrate%2C sulphate or fumarate	65	89	2	10	0.000000	NE
SAOUHSC_00143	SAOUHSC_00143	conserved hypothetical protein	116	140	2	14	0.000000	NE
SAOUHSC_00144	SAOUHSC_00144	conserved hypothetical protein	500	636	3	26	0.000000	NE
SAOUHSC_00145	SAOUHSC_00145	conserved hypothetical protein	47	58	3	23	0.000000	NE
SAOUHSC_00146	SAOUHSC_00146	conserved hypothetical protein	29	42	2	11	0.000000	NE
SAOUHSC_00147	SAOUHSC_00147	acetylglutamate kinase%2C putative	55	67	2	33	0.000000	NE
SAOUHSC_00148	argJ	bifunctional arginine biosynthesis protein ArgJ%3B functions at the 1st and 5th steps in arginine biosynthesis%3B involved in synthesis of acetylglutamate from glutamate and acetyl-CoA and ornithine by transacetylation between acetylornithine and glutmate	72	94	5	53	0.000000	NE
SAOUHSC_00149	argC	catalyzes the reduction of N-acetyl-5-glutamyl phosphate to N-acetyl-L-glutamate 5-semialdehyde in arginine biosynthesis and the reduction of N-acetyl-gamma-aminoadipyl-phosphate to N-acetyl-L-aminoadipate-semialdehyde in lysine biosynthesis%3B involved in both the arginine and lysine biosynthetic pathways%3B lysine is produced via the AAA pathway%2C lysine from alpha-aminoadipate	73	91	4	37	0.000000	NE
SAOUHSC_00150	SAOUHSC_00150	ornithine aminotransferase%2C putative	73	88	4	56	0.000000	NE
SAOUHSC_00151	SAOUHSC_00151	branched-chain amino acid transport system II carrier protein	100	136	4	22	0.000000	NE
SAOUHSC_00152	SAOUHSC_00152	conserved hypothetical protein	29	39	2	20	0.000000	NE
SAOUHSC_00153	SAOUHSC_00153	indolepyruvate decarboxylase%2C putative	106	138	3	33	0.000000	NE
SAOUHSC_00154	SAOUHSC_00154	conserved hypothetical protein	11	11	0	0	-1.000000	S
SAOUHSC_00155	SAOUHSC_00155	PTS system%2C glucose-specific component	136	171	3	57	0.000000	NE
SAOUHSC_00156	SAOUHSC_00156	conserved hypothetical protein	55	80	5	86	0.000000	NE
SAOUHSC_00157	murQ	catalyzes the cleavage of the lactyl ether moiety of N-acetylmuramic acid-6-phosphate (MurNAc-6-P) to form N-acetylglucosamine-6-phosphate (GlcNAc-6-P) and lactate%3B involved in MurNAc dissimilation pathway	53	70	3	24	0.000000	NE
SAOUHSC_00158	SAOUHSC_00158	PTS system component	118	141	3	18	0.000000	NE
SAOUHSC_00160	SAOUHSC_00160	conserved hypothetical protein	60	73	2	24	0.000000	NE
SAOUHSC_00161	SAOUHSC_00161	conserved hypothetical protein	28	36	3	23	0.000000	NE
SAOUHSC_00162	SAOUHSC_00162	type I site-specific deoxyribonuclease%2C HsdR family%2C putative	185	256	4	44	0.000000	NE
SAOUHSC_00163	SAOUHSC_00163	conserved hypothetical protein	61	88	4	20	0.000000	NE
SAOUHSC_00164	SAOUHSC_00164	conserved hypothetical protein	75	98	2	4	0.000000	NE
SAOUHSC_00166	SAOUHSC_00166	conserved hypothetical protein	97	130	4	24	0.000000	NE
SAOUHSC_00167	SAOUHSC_00167	peptide ABC transporter%2C ATP-binding protein%2C putative	89	126	4	31	0.000000	NE
SAOUHSC_00168	SAOUHSC_00168	conserved hypothetical protein	115	145	3	17	0.000000	NE
SAOUHSC_00169	SAOUHSC_00169	peptide ABC transporter%2C permease protein%2C putative	98	129	3	19	0.000000	NE
SAOUHSC_00170	SAOUHSC_00170	conserved hypothetical protein	127	160	7	65	0.000000	NE
SAOUHSC_00171	SAOUHSC_00171	gamma-glutamyltranspeptidase%2C putative	136	168	4	39	0.000000	NE
SAOUHSC_00172	SAOUHSC_00172	conserved hypothetical protein	56	73	3	22	0.000000	NE
SAOUHSC_00173	SAOUHSC_00173	FMN-dependent%3B requires NADH%3B catalyzes the cleavage of azo bond in aromatic azo compounds	42	55	2	16	0.000000	NE
SAOUHSC_00174	SAOUHSC_00174	M23/M37 peptidase domain protein	38	52	3	56	0.000000	NE
SAOUHSC_00175	SAOUHSC_00175	multiple sugar-binding transport ATP-binding protein%2C putative	69	89	2	12	0.000000	NE
SAOUHSC_00176	SAOUHSC_00176	bacterial extracellular solute-binding protein%2C putative	86	114	3	29	0.000000	NE
SAOUHSC_00177	SAOUHSC_00177	maltose ABC transporter%2C permease protein%2C putative	91	122	3	17	0.000000	NE
SAOUHSC_00178	SAOUHSC_00178	maltose ABC transporter%2C permease protein	60	83	3	21	0.000000	NE
SAOUHSC_00179	SAOUHSC_00179	conserved hypothetical protein	49	61	2	8	0.000000	NE
SAOUHSC_00180	SAOUHSC_00180	conserved hypothetical protein	64	77	2	14	0.000000	NE
SAOUHSC_00181	SAOUHSC_00181	conserved hypothetical protein	67	88	3	38	0.000000	NE
SAOUHSC_00182	SAOUHSC_00182	conserved hypothetical protein	72	79	2	19	0.000000	NE
SAOUHSC_00183	uhpT	cytoplasmic membrane protein that functions as a monomer%3B catalyzes the active transport of sugar-phosphates such as glucose-6-phosphate with the obligatory exchange of inorganic phosphate or organophosphate	100	123	3	43	0.000000	NE
SAOUHSC_00184	SAOUHSC_00184	Response regulator receiver domain protein	59	73	1	2	0.000600	NE
SAOUHSC_00185	SAOUHSC_00185	conserved hypothetical protein	129	155	3	26	0.000000	NE
SAOUHSC_00186	SAOUHSC_00186	lipoprotein%2C putative	58	80	3	70	0.000000	NE
SAOUHSC_00187	SAOUHSC_00187	formate acetyltransferase	147	193	2	10	0.000050	NE
SAOUHSC_00188	SAOUHSC_00188	pyruvate formate-lyase 1 activating enzyme%2C putative	50	62	2	30	0.000000	NE
SAOUHSC_00190	SAOUHSC_00190	conserved hypothetical protein	152	185	3	26	0.000000	NE
SAOUHSC_00191	SAOUHSC_00191	conserved hypothetical protein	26	33	2	11	0.000000	NE
SAOUHSC_00192	SAOUHSC_00192	coagulase	142	171	3	26	0.000000	NE
SAOUHSC_00193	SAOUHSC_00193	-	8	9	1	2	-1.000000	S
SAOUHSC_00195	SAOUHSC_00195	acetyl-CoA acetyltransferase%2C putative	66	80	3	29	0.000000	NE
SAOUHSC_00196	SAOUHSC_00196	conserved hypothetical protein	147	185	3	34	0.000000	NE
SAOUHSC_00197	SAOUHSC_00197	conserved hypothetical protein	82	100	2	18	0.000000	NE
SAOUHSC_00198	SAOUHSC_00198	conserved hypothetical protein	85	121	3	41	0.000000	NE
SAOUHSC_00199	SAOUHSC_00199	conserved hypothetical protein	90	122	4	39	0.000000	NE
SAOUHSC_00200	SAOUHSC_00200	membrane protein%2C putative	71	98	3	26	0.000000	NE
SAOUHSC_00201	SAOUHSC_00201	conserved hypothetical protein	112	141	3	16	0.000000	NE
SAOUHSC_00202	SAOUHSC_00202	conserved hypothetical protein	29	34	2	6	0.000000	NE
SAOUHSC_00203	SAOUHSC_00203	conserved hypothetical protein	17	25	2	5	0.000000	NE
SAOUHSC_00204	SAOUHSC_00204	Globin domain protein	74	94	3	27	0.000000	NE
SAOUHSC_00205	SAOUHSC_00205	-	5	7	2	28	-1.000000	S
SAOUHSC_00206	SAOUHSC_00206	L-lactate dehydrogenase	48	57	2	10	0.000000	NE
SAOUHSC_00208	SAOUHSC_00208	-	8	10	1	2	-1.000000	S
SAOUHSC_00209	SAOUHSC_00209	PTS system%2C glucose-specific IIBC component%2C putative	100	116	2	16	0.000000	NE
SAOUHSC_00211	SAOUHSC_00211	conserved hypothetical protein	57	73	3	32	0.000000	NE
SAOUHSC_00212	SAOUHSC_00212	conserved hypothetical protein	4	9	5	52	-1.000000	S
SAOUHSC_00213	SAOUHSC_00213	conserved hypothetical protein	130	166	3	79	0.000000	NE
SAOUHSC_00214	SAOUHSC_00214	phosphoenolpyruvate-dependent sugar phosphotransferase system%2C EIIA 2%2C putative	24	33	2	38	0.000000	NE
SAOUHSC_00215	SAOUHSC_00215	PTS system component%2C putative	22	27	3	19	0.000000	NE
SAOUHSC_00216	SAOUHSC_00216	PTS system component	91	114	4	43	0.000000	NE
SAOUHSC_00217	SAOUHSC_00217	sorbitol dehydrogenase%2C putative	64	77	5	47	0.000000	NE
SAOUHSC_00218	SAOUHSC_00218	conserved hypothetical protein	11	13	1	2	-1.000000	S
SAOUHSC_00219	SAOUHSC_00219	conserved hypothetical protein	66	81	2	8	0.000000	NE
SAOUHSC_00220	SAOUHSC_00220	4-diphosphocytidyl-2C-methyl-D-erythritol synthase%3B MEP cytidylyltransferase%3B MCT%3B catalyzes the formation of 4-diphosphocytidyl-2-C-methyl-D-erythritol from CTP and 2-C-methyl-D-erythritol 4-phosphate%3B involved in isoprenoid and isopentenyl-PP biosynthesis%3B forms homodimers	55	65	3	16	0.000000	NE
SAOUHSC_00221	SAOUHSC_00221	alcohol dehydrogenase%2C zinc-containing	93	103	1	2	0.093650	U
SAOUHSC_00222	SAOUHSC_00222	tagB protein%2C putative	114	149	4	43	0.000000	NE
