Gene Locus,TA sites,reads,,,
SAOUHSC_01219,105,1460,,,
SAOUHSC_01224,68,34,,,
SAOUHSC_01226-hslU,101,399,,,
SAOUHSC_01233,13,5,,,
SAOUHSC_01237,78,7,,,
SAOUHSC_01242,37,35,,,
SAOUHSC_01247-rbfA,32,47,,,
SAOUHSC_01251,150,580,,,
SAOUHSC_01263,106,13,,,
SAOUHSC_01266,152,325,,,
SAOUHSC_01285,25,3,,,
SAOUHSC_01289,26,163,,,
SAOUHSC_01333,51,66,,,
SAOUHSC_01338,21,1,,,
SAOUHSC_01350,60,6,,,
SAOUHSC_01425,41,438,,,
SAOUHSC_01435-thyA,72,12,,,
SAOUHSC_01462-gpsB,30,899,,,
SAOUHSC_01466-recU,67,19,,,
SAOUHSC_01477,51,14,,,
SAOUHSC_01486,68,1,,,
SAOUHSC_01490,17,0,,,
SAOUHSC_01575,59,117,,,
SAOUHSC_01605,108,27,,,
SAOUHSC_01611,110,13,,,
SAOUHSC_01615,141,1052,,,
SAOUHSC_01618-ispA,78,27,,,
SAOUHSC_01621-nusB,36,66,,,
SAOUHSC_01622,36,175,,,
SAOUHSC_01625,43,35,,,
SAOUHSC_01636,17,336,,,
SAOUHSC_01667-recO,68,19,,,
SAOUHSC_01671,41,165,,,
SAOUHSC_01678-rpsU,15,0,,,
SAOUHSC_01684-grpE,38,146,,,
SAOUHSC_01688,157,238,,,
SAOUHSC_01702,55,75,,,
SAOUHSC_01714-greA,29,18,,,
SAOUHSC_01719,21,15,,,
SAOUHSC_01723,208,1254,,,
SAOUHSC_01726,82,2,,,
SAOUHSC_01737-aspS,127,13,,,
SAOUHSC_01739,77,242,,,
SAOUHSC_01742,178,179,,,
SAOUHSC_01751-ruvA,51,104,,,
SAOUHSC_01755-rpmA,22,1,,,
SAOUHSC_01758-mreD,68,2445,,,
SAOUHSC_01768,50,730,,,
SAOUHSC_01775,96,438,,,
SAOUHSC_01777-engB,59,3,,,
SAOUHSC_01779-tig,91,141,,,
SAOUHSC_01788-thrS,149,14,,,
SAOUHSC_01795-coaE,52,24,,,
SAOUHSC_01806,143,85,,,
SAOUHSC_01808,72,4,,,
SAOUHSC_01810,112,1950,,,
SAOUHSC_01812,71,111,,,
SAOUHSC_01820,98,15,,,
SAOUHSC_01827-ezrA,136,248,,,
SAOUHSC_01837,58,6,,,
SAOUHSC_01840,92,3264,,,
SAOUHSC_01852-aroA,89,25,,,
SAOUHSC_01867,76,1540,,,
SAOUHSC_01874,27,289,,,
SAOUHSC_01895-lytD,74,59,,,
SAOUHSC_01908,75,46,,,
SAOUHSC_01909,78,5,,,
SAOUHSC_01910,120,500,,,
SAOUHSC_01944,55,469,,,
SAOUHSC_01954,88,1225,,,
SAOUHSC_01960-hemY,119,23,,,
SAOUHSC_01963,12,15,,,
SAOUHSC_01974,230,1060,,,
SAOUHSC_01975-sbcD,108,491,,,
SAOUHSC_02102,55,1,,,
SAOUHSC_02124,65,4500,,,
SAOUHSC_02127,116,2514,,,
SAOUHSC_02132-nadE,67,4,,,
SAOUHSC_02235,77,757,,,
SAOUHSC_02254-groEL,114,13,,,
SAOUHSC_02306-acpS,27,1,,,
SAOUHSC_02307,46,71,,,
SAOUHSC_02316,111,143,,,
SAOUHSC_02317,127,8,,,
SAOUHSC_02327,69,2,,,
SAOUHSC_02337-murA,106,587,,,
SAOUHSC_02341-F-type,113,417,,,
SAOUHSC_02343-F-type,75,160,,,
SAOUHSC_02360,54,162,,,
SAOUHSC_02361-rpmE2,14,1,,,
SAOUHSC_02366,61,23,,,
SAOUHSC_02369,33,852,,,
SAOUHSC_02371,67,9,,,
SAOUHSC_02405-glmM,104,8,,,
SAOUHSC_02462,10,715,,,
SAOUHSC_02472,129,1598,,,
SAOUHSC_02477-rpsI,32,11,,,
SAOUHSC_02480-truA,61,1420,,,
SAOUHSC_02484-rplQ,29,2,,,
SAOUHSC_02524,35,46,,,
SAOUHSC_02709,85,1213,,,
SAOUHSC_02801-gtaB,57,21,,,
SAOUHSC_02859,94,22,,,
SAOUHSC_02860,86,1,,,
SAOUHSC_02909,81,26,,,
SAOUHSC_03049,49,6,,,
SAOUHSC_A00526,35,249,,,
SAOUHSC_A02169,19,814,,,
SAOUHSC_A02811,17,127,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
