#Tn5 Gaps
#Console: python /galaxy/home/delphinel/miniconda3/envs/tnseq/bin/transit tn5gaps bedgraphs/ERR2249109_1_BW25113.wig,bedgraphs/ERR2249110_1_BW25113.wig,bedgraphs/ERR2249111_1_BW25113.wig,bedgraphs/ERR2249112_1_BW25113.wig BW25113.prot_table transit_res/sum_all_1_BW25113.tab -r Sum
#Data: bedgraphs/ERR2249109_1_BW25113.wig,bedgraphs/ERR2249110_1_BW25113.wig,bedgraphs/ERR2249111_1_BW25113.wig,bedgraphs/ERR2249112_1_BW25113.wig
#Annotation path: BW25113.prot_table
#Time: 126.894939184
#Essential gene count: 455
#Minimum reads: 1
#Replicate combination method: Sum
#Minimum significant run length: 80
#Expected run length: 5.13993
#Expected max run length: 59.4475978239
#Orf	Name	Desc	k	n	r	ovr	lenovr	pval	padj	call
BW25113_0097	secM	-	50	510	65	65	65	0.15351	1.00000	Non-essential
BW25113_0098	secA	preprotein translocase%3B secretion protein	55	2703	444	444	444	0.00000	0.00000	Essential
BW25113_0099	mutT	7%2C8-dihydro-8-oxoguanine-triphosphatase%2C prefers dGTP%2C causes AT-GC transversions	80	387	24	24	24	1.00000	1.00000	Non-essential
BW25113_0101	yacG	-	33	195	24	24	24	1.00000	1.00000	Non-essential
BW25113_0102	zapD	-	170	741	40	40	40	1.00000	1.00000	Non-essential
BW25113_0103	coaE	putative DNA repair protein	15	618	177	177	177	0.00000	0.00000	Essential
BW25113_0104	guaC	-	250	1041	27	27	27	1.00000	1.00000	Non-essential
BW25113_0106	hofC	putative integral membrane protein involved in biogenesis of fimbriae%2C protein transport%2C DNA uptake	314	1200	24	24	24	1.00000	1.00000	Non-essential
BW25113_0107	hofB	putative integral membrane protein involved in biogenesis of fimbriae%2C protein transport%2C DNA uptake	343	1383	26	26	26	1.00000	1.00000	Non-essential
BW25113_0108	ppdD	prelipin peptidase dependent protein	111	438	14	14	14	1.00000	1.00000	Non-essential
BW25113_0109	nadC	-	199	891	39	39	39	1.00000	1.00000	Non-essential
BW25113_0110	ampD	regulates ampC	147	549	29	29	29	1.00000	1.00000	Non-essential
BW25113_0111	ampE	regulates ampC	233	852	21	21	21	1.00000	1.00000	Non-essential
BW25113_0112	aroP	aromatic amino acid transport protein	367	1371	20	20	20	1.00000	1.00000	Non-essential
BW25113_0113	pdhR	transcriptional regulator for pyruvate dehydrogenase complex	95	762	46	46	46	1.00000	1.00000	Non-essential
BW25113_0114	aceE	pyruvate dehydrogenase (decarboxylase component)	172	2661	81	81	81	0.00358	0.03446	Essential
BW25113_0115	aceF	pyruvate dehydrogenase (dihydrolipoyltransacetylase component)	104	1890	95	95	95	0.00012	0.00138	Essential
BW25113_0116	lpd	lipoamide dehydrogenase (NADH)%3B component of 2-oxodehydrogenase and pyruvate complexes%3B L-protein of glycine cleavage complex	17	1422	270	270	270	0.00000	0.00000	Essential
BW25113_0117	yacH	putative membrane protein	465	1851	26	26	26	1.00000	1.00000	Non-essential
BW25113_0118	acnB	aconitate hydrase B	288	2595	70	70	70	0.04897	0.39025	Non-essential
BW25113_0119	yacL	-	98	360	17	17	17	1.00000	1.00000	Non-essential
BW25113_0120	speD	-	204	792	20	20	20	1.00000	1.00000	Non-essential
BW25113_0121	speE	spermidine synthase %3D putrescine aminopropyltransferase	206	864	23	23	23	1.00000	1.00000	Non-essential
BW25113_0122	yacC	-	67	345	31	31	31	1.00000	1.00000	Non-essential
BW25113_0123	cueO	-	372	1548	39	39	39	1.00000	1.00000	Non-essential
BW25113_0124	gcd	-	591	2388	74	74	74	0.01905	0.16295	Non-essential
BW25113_0125	hpt	-	120	534	24	24	24	1.00000	1.00000	Non-essential
BW25113_0126	can	putative carbonic anhdrase	9	660	252	252	252	0.00000	0.00000	Essential
BW25113_0127	yadG	putative ATP-binding component of a transport system	162	924	100	100	100	0.00004	0.00043	Essential
BW25113_0128	yadH	-	194	768	17	17	17	1.00000	1.00000	Non-essential
BW25113_0129	yadI	putative PTS enzyme II B component	113	438	20	20	20	1.00000	1.00000	Non-essential
BW25113_0130	yadE	conserved hypothetical protein	297	1227	31	31	31	1.00000	1.00000	Non-essential
BW25113_0131	panD	-	80	378	38	38	38	1.00000	1.00000	Non-essential
BW25113_0132	yadD	-	207	900	32	32	32	1.00000	1.00000	Non-essential
BW25113_0133	panC	-	161	849	23	23	23	1.00000	1.00000	Non-essential
BW25113_0134	panB	-	191	792	43	43	43	1.00000	1.00000	Non-essential
BW25113_0135	yadC	putative fimbrial-like protein	606	1236	20	20	20	1.00000	1.00000	Non-essential
BW25113_0136	yadK	putative fimbrial protein	285	594	19	19	19	1.00000	1.00000	Non-essential
BW25113_0137	yadL	putative fimbrial protein	334	603	21	21	21	1.00000	1.00000	Non-essential
BW25113_0138	yadM	putative fimbrial-like protein	304	567	11	11	11	1.00000	1.00000	Non-essential
BW25113_0139	htrE	probable outer membrane porin protein involved in fimbrial assembly	1446	2595	16	16	16	1.00000	1.00000	Non-essential
BW25113_0140	yadV	probable pilin chaperone similar to PapD	361	738	13	13	13	1.00000	1.00000	Non-essential
BW25113_0141	yadN	putative fimbrial-like protein	323	582	9	9	13	1.00000	1.00000	Non-essential
BW25113_0142	folK	7%2C8-dihydro-6-hydroxymethylpterin- pyrophosphokinase	41	477	68	68	68	0.07793	0.58730	Non-essential
BW25113_0143	pcnB	-	228	1395	34	34	34	1.00000	1.00000	Non-essential
BW25113_0144	gluQ	putative tRNA synthetase	201	924	25	25	25	1.00000	1.00000	Non-essential
BW25113_0145	dksA	dnaK suppressor protein	73	453	55	55	55	0.84050	1.00000	Non-essential
BW25113_0146	sfsA	probable regulator for maltose metabolism	173	702	33	33	33	1.00000	1.00000	Non-essential
BW25113_0147	ligT	-	112	528	30	30	30	1.00000	1.00000	Non-essential
BW25113_0148	hrpB	helicase%2C ATP-dependent	550	2427	28	28	28	1.00000	1.00000	Non-essential
BW25113_0149	mrcB	peptidoglycan synthetase%3B penicillin-binding protein 1B	581	2532	38	38	38	1.00000	1.00000	Non-essential
BW25113_0150	fhuA	outer membrane protein receptor for ferrichrome%2C colicin M%2C and phages T1%2C T5%2C and phi80	562	2241	26	26	26	1.00000	1.00000	Non-essential
BW25113_0151	fhuC	ATP-binding component of hydroxymate-dependent iron transport	186	795	25	25	25	1.00000	1.00000	Non-essential
BW25113_0152	fhuD	hydroxamate-dependent iron uptake%2C cytoplasmic membrane component%3B periplasmic-binding component of ABC superfamily	224	888	20	20	20	1.00000	1.00000	Non-essential
BW25113_0153	fhuB	-	443	1980	30	30	30	1.00000	1.00000	Non-essential
BW25113_0154	hemL	-	21	1278	188	188	188	0.00000	0.00000	Essential
BW25113_0155	clcA	putative channel transporter	355	1419	32	32	32	1.00000	1.00000	Non-essential
BW25113_0156	erpA	-	9	342	88	88	88	0.00067	0.00702	Essential
BW25113_0157	yadS	-	128	621	54	54	54	0.90304	1.00000	Non-essential
BW25113_0158	btuF	-	156	798	44	44	44	1.00000	1.00000	Non-essential
BW25113_0159	mtn	-	54	696	69	69	69	0.06184	0.47856	Non-essential
BW25113_0160	dgt	-	672	1515	46	46	46	1.00000	1.00000	Non-essential
BW25113_0161	degP	periplasmic serine protease Do%3B heat shock protein HtrA	394	1422	43	43	43	1.00000	1.00000	Non-essential
BW25113_0162	cdaR	-	271	1155	20	20	20	1.00000	1.00000	Non-essential
BW25113_0163	yaeH	putative structural protein	75	384	28	28	28	1.00000	1.00000	Non-essential
BW25113_0164	yaeI	-	197	810	39	39	39	1.00000	1.00000	Non-essential
BW25113_0166	dapD	-	12	822	240	240	240	0.00000	0.00000	Essential
BW25113_0167	glnD	protein PII%3B uridylyltransferase acts on regulator of glnA	365	2670	74	74	74	0.01905	0.16295	Non-essential
BW25113_0168	map	-	18	792	178	178	178	0.00000	0.00000	Essential
BW25113_0169	rpsB	-	8	723	281	281	281	0.00000	0.00000	Essential
BW25113_0170	tsf	-	5	849	431	431	431	0.00000	0.00000	Essential
BW25113_0171	pyrH	-	6	723	245	245	245	0.00000	0.00000	Essential
BW25113_0172	frr	ribosome releasing factor	14	555	222	222	222	0.00000	0.00000	Essential
BW25113_0173	dxr	-	16	1194	525	525	525	0.00000	0.00000	Essential
BW25113_0174	ispU	undecaprenyl pyrophosphate synthetase (di-trans%2Cpoly-cis-decaprenylcistransferase)	7	759	496	496	496	0.00000	0.00000	Essential
BW25113_0175	cdsA	CDP-diglyceride synthetase	13	855	171	171	171	0.00000	0.00000	Essential
BW25113_0176	rseP	-	86	1350	77	77	77	0.00932	0.08337	Non-essential
BW25113_0177	bamA	putative outer membrane antigen	15	2430	463	463	463	0.00000	0.00000	Essential
BW25113_0178	skp	periplasmic molecular chaperone for outer membrane proteins	55	483	31	31	31	1.00000	1.00000	Non-essential
BW25113_0179	lpxD	-	5	1023	492	492	497	0.00000	0.00000	Essential
BW25113_0180	fabZ	-	5	453	197	197	197	0.00000	0.00000	Essential
BW25113_0181	lpxA	UDP-N-acetylglucosamine acetyltransferase%3B lipid A biosynthesis	5	786	304	307	309	0.00000	0.00000	Essential
BW25113_0182	lpxB	tetraacyldisaccharide-1-P%3B lipid A biosynthesis%2C penultimate step	11	1146	513	513	513	0.00000	0.00000	Essential
BW25113_0183	rnhB	RNAse HII%2C degrades RNA of DNA-RNA hybrids	58	594	45	45	45	1.00000	1.00000	Non-essential
BW25113_0184	dnaE	DNA polymerase III%2C alpha subunit	23	3480	703	703	703	0.00000	0.00000	Essential
BW25113_0185	accA	acetylCoA carboxylase%2C carboxytransferase component%2C alpha subunit	11	957	384	384	384	0.00000	0.00000	Essential
BW25113_0186	ldcC	-	460	2139	44	44	44	1.00000	1.00000	Non-essential
BW25113_0187	yaeR	-	82	387	18	18	18	1.00000	1.00000	Non-essential
BW25113_0188	tilS	-	30	1296	235	235	235	0.00000	0.00000	Essential
BW25113_0189	rof	-	55	252	27	27	27	1.00000	1.00000	Non-essential
BW25113_0190	yaeQ	-	122	543	30	30	30	1.00000	1.00000	Non-essential
BW25113_0191	arfB	-	96	420	30	30	30	1.00000	1.00000	Non-essential
BW25113_0192	nlpE	copper homeostasis protein (lipoprotein)	177	708	17	17	17	1.00000	1.00000	Non-essential
BW25113_0193	yaeF	-	201	822	27	27	27	1.00000	1.00000	Non-essential
BW25113_0194	proS	proline tRNA synthetase	18	1716	504	504	504	0.00000	0.00000	Essential
BW25113_0195	tsaA	-	152	705	32	32	32	1.00000	1.00000	Non-essential
BW25113_0196	rcsF	regulator in colanic acid synthesis%3B interacts with RcsB	111	402	40	40	40	1.00000	1.00000	Non-essential
BW25113_0197	metQ	D-methionine transport protein (ABC superfamily%2C peri_bind)	200	813	33	33	33	1.00000	1.00000	Non-essential
BW25113_0198	metI	D- and L-methionine transport protein (ABC superfamily%2C membrane)	193	651	44	44	44	1.00000	1.00000	Non-essential
BW25113_0199	metN	D- and L-methionine transport protein (ABC superfamily%2C atp_bind)	267	1029	21	21	21	1.00000	1.00000	Non-essential
BW25113_0200	gmhB	-	75	573	43	43	43	1.00000	1.00000	Non-essential
BW25113_0201	rrsH	-	314	1539	28	28	28	1.00000	1.00000	Non-essential
BW25113_0202	ileV	-	21	74	6	6	6	1.00000	1.00000	Non-essential
BW25113_0203	alaV	-	16	73	13	13	13	1.00000	1.00000	Non-essential
BW25113_0204	rrlH	-	594	2901	37	37	37	1.00000	1.00000	Non-essential
BW25113_0205	rrfH	-	22	117	29	29	49	0.99957	1.00000	Non-essential
BW25113_0206	aspU	-	9	74	14	14	14	1.00000	1.00000	Non-essential
BW25113_0207	dkgB	-	140	801	44	44	44	1.00000	1.00000	Non-essential
BW25113_0208	yafC	putative transcriptional regulator LYSR-type	153	912	55	55	55	0.84050	1.00000	Non-essential
BW25113_0209	yafD	-	174	798	50	50	50	0.99774	1.00000	Non-essential
BW25113_0210	yafE	putative biotin synthesis protein	138	621	54	54	54	0.90304	1.00000	Non-essential
BW25113_0211	mltD	-	237	1356	37	37	37	1.00000	1.00000	Non-essential
BW25113_0212	gloB	probable hydroxyacylglutathione hydrolase	106	753	105	105	105	0.00001	0.00013	Essential
BW25113_0213	yafS	-	119	720	38	38	38	1.00000	1.00000	Non-essential
BW25113_0214	rnhA	RNase HI%2C degrades RNA of DNA-RNA hybrids%2C participates in DNA replication	35	465	54	54	54	0.90304	1.00000	Non-essential
BW25113_0215	dnaQ	DNA polymerase III%2C epsilon subunit	85	729	48	48	48	0.99995	1.00000	Non-essential
BW25113_0216	aspV	-	33	74	6	6	6	1.00000	1.00000	Non-essential
BW25113_0217	yafT	putative aminopeptidase	289	783	45	45	45	1.00000	1.00000	Non-essential
BW25113_0219	yafV	putative EC 3.5. amidase-type enzyme	173	768	25	25	25	1.00000	1.00000	Non-essential
BW25113_0220	ivy	inhibitor of vertebrate C-type lysozyme%2C periplasmic	121	471	27	30	42	1.00000	1.00000	Non-essential
BW25113_0221	fadE	-	423	2442	32	32	32	1.00000	1.00000	Non-essential
BW25113_0222	gmhA	phosphoheptose isomerase	52	576	57	57	57	0.67893	1.00000	Non-essential
BW25113_0223	yafJ	putative amidotransferase	138	765	31	31	31	1.00000	1.00000	Non-essential
BW25113_0224	yafK	-	183	738	25	25	25	1.00000	1.00000	Non-essential
BW25113_0225	yafQ	-	79	276	23	23	23	1.00000	1.00000	Non-essential
BW25113_0226	dinJ	damage-inducible protein J	86	258	29	32	48	0.99995	1.00000	Non-essential
BW25113_0227	yafL	putative lipoprotein	150	747	35	35	35	1.00000	1.00000	Non-essential
BW25113_0228	rayT	-	103	495	34	34	34	1.00000	1.00000	Non-essential
BW25113_0231	dinB	DNA polymerase IV%3B DNA polymerase IV%2C devoid of proofreading%2C damage-inducible protein P	212	1053	40	40	40	1.00000	1.00000	Non-essential
BW25113_0232	yafN	-	45	291	44	44	46	1.00000	1.00000	Non-essential
BW25113_0233	yafO	-	177	396	10	12	27	1.00000	1.00000	Non-essential
BW25113_0234	yafP	-	166	450	13	13	13	1.00000	1.00000	Non-essential
BW25113_0237	pepD	-	324	1455	36	36	36	1.00000	1.00000	Non-essential
BW25113_0238	gpt	-	101	456	23	23	23	1.00000	1.00000	Non-essential
BW25113_0239	frsA	-	323	1242	27	27	27	1.00000	1.00000	Non-essential
BW25113_0240	crl	sigma factor-binding protein%2C stimulates RNA polymerase holoenzyme formation%3Bregulator%3B Surface structures%3B transcriptional regulator of cryptic csgA gene for curli surface fibers	143	399	17	17	17	1.00000	1.00000	Non-essential
BW25113_0241	phoE	outer membrane pore protein E (E%2CIc%2CNmpAB)	461	1053	41	41	41	1.00000	1.00000	Non-essential
BW25113_0242	proB	-	246	1101	41	41	41	1.00000	1.00000	Non-essential
BW25113_0243	proA	-	275	1251	46	46	46	1.00000	1.00000	Non-essential
BW25113_0244	thrW	-	12	73	27	27	27	1.00000	1.00000	Non-essential
BW25113_0245	ykfI	-	81	339	30	30	30	1.00000	1.00000	Non-essential
BW25113_0246	yafW	-	91	315	14	14	14	1.00000	1.00000	Non-essential
BW25113_0247	ykfG	putative DNA repair protein	109	474	35	35	35	1.00000	1.00000	Non-essential
BW25113_0248	yafX	-	139	456	19	19	19	1.00000	1.00000	Non-essential
BW25113_0249	ykfF	-	64	237	21	21	21	1.00000	1.00000	Non-essential
BW25113_0250	ykfB	-	129	465	13	13	13	1.00000	1.00000	Non-essential
BW25113_0251	yafY	hypothetical transcriptional regulator	119	441	14	14	14	1.00000	1.00000	Non-essential
BW25113_0252	yafZ	-	215	819	21	21	21	1.00000	1.00000	Non-essential
BW25113_0253	ykfA	putative GTP-binding protein	242	861	25	25	25	1.00000	1.00000	Non-essential
BW25113_0254	perR	peroxide resistance protein	209	891	24	24	24	1.00000	1.00000	Non-essential
BW25113_0256	insI1	-	357	1149	19	19	19	1.00000	1.00000	Non-essential
BW25113_0259	insH1	-	471	1014	14	14	14	1.00000	1.00000	Non-essential
BW25113_0260	mmuP	-	311	1401	26	26	26	1.00000	1.00000	Non-essential
BW25113_0261	mmuM	-	194	930	24	24	24	1.00000	1.00000	Non-essential
BW25113_0262	afuC	putative ATP-binding component of a transport system	252	1044	45	45	45	1.00000	1.00000	Non-essential
BW25113_0264	insB1	-	188	501	22	25	67	0.09800	0.71838	Non-essential
BW25113_0265	insA	-	89	273	11	11	11	1.00000	1.00000	Non-essential
BW25113_0267	yagA	-	269	1152	31	31	31	1.00000	1.00000	Non-essential
BW25113_0268	yagE	putative lyase/synthase	163	906	54	54	54	0.90304	1.00000	Non-essential
BW25113_0269	yagF	putative dehydratase	406	1965	34	34	34	1.00000	1.00000	Non-essential
BW25113_0270	yagG	putative permease	334	1380	22	25	25	1.00000	1.00000	Non-essential
BW25113_0271	yagH	putative beta-xylosidase	362	1608	34	34	34	1.00000	1.00000	Non-essential
BW25113_0272	yagI	putative regulator	185	756	28	28	28	1.00000	1.00000	Non-essential
BW25113_0273	argF	ornithine carbamoyltransferase 2%2C chain F	196	1002	36	36	36	1.00000	1.00000	Non-essential
BW25113_0274	insB1	-	180	501	23	25	43	1.00000	1.00000	Non-essential
BW25113_0275	insA	-	93	273	23	23	23	1.00000	1.00000	Non-essential
BW25113_0277	yagK	-	335	624	23	23	23	1.00000	1.00000	Non-essential
BW25113_0278	yagL	DNA-binding protein	300	696	35	35	35	1.00000	1.00000	Non-essential
BW25113_0279	yagM	-	256	852	30	30	30	1.00000	1.00000	Non-essential
BW25113_0280	yagN	-	149	438	28	28	28	1.00000	1.00000	Non-essential
BW25113_0281	intF	putative phage integrase	297	1398	46	46	46	1.00000	1.00000	Non-essential
BW25113_0283	paoD	-	233	954	34	34	34	1.00000	1.00000	Non-essential
BW25113_0284	paoC	-	447	2196	29	29	29	1.00000	1.00000	Non-essential
BW25113_0285	paoB	-	216	954	22	22	22	1.00000	1.00000	Non-essential
BW25113_0286	paoA	putative xanthine dehydrogenase	187	687	21	21	21	1.00000	1.00000	Non-essential
BW25113_0287	yagU	-	336	612	19	19	19	1.00000	1.00000	Non-essential
BW25113_0288	ykgJ	putative ferredoxin	186	327	8	8	8	1.00000	1.00000	Non-essential
BW25113_0289	ecpE	-	188	708	27	27	27	1.00000	1.00000	Non-essential
