Orf ID	Feature Type(1:gene 2:rRNA 3:tRNA 4:ncRNA 7:tmRNA 8:sRNA)	Orf	Alternative name	MapPosition	Start(BP)	End(BP)	Length(BP)	Direction(0:+ 1:-)	Class(1:essential 2:noessential 3:unknown)	PID	Product	PMID
30	1	ispH	b0029,ECK0030,JW0027,lytB,yaaE	0.566353976726532	26277	27227	951	0	1	1786212	4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein	6384423
31	1	rihC	b0030,ECK0031,JW0028,yaaF	0.5882520079612732	27293	28207	915	0	2	1786213	ribonucleoside hydrolase 3	
32	1	dapB	b0031,ECK0032,JW0029	0.6115509867668152	28374	29195	822	0	1	1786214	dihydrodipicolinate reductase	
33	1	carA	arg,arg+ura,b0032,cap,ECK0033,JW0030,pyrA	0.639074981212616	29651	30799	1149	0	2	1786215	carbamoyl phosphate synthetase small subunit, glutamine amidotransferase	
34	1	carB	arg+ura,b0033,cap,ECK0034,JW0031,pyrA	0.6642060279846191	30817	34038	3222	0	2	1786216	carbamoyl-phosphate synthase large subunit	
35	1	caiF	b0034,ECK0035,JW0033	0.7392759919166565	34300	34695	396	0	2	87081680	DNA-binding transcriptional activator	
36	1	caiE	b0035,ECK0036,JW5004	0.7496430277824402	34781	35371	591	1	2	87081681	stimulator of CaiD and CaiB enzyme activities	
37	1	caiD	b0036,ECK0037,JW0035,yaaL	0.7624890208244324	35377	36162	786	1	2	221142681	carnitinyl-CoA dehydratase	
38	1	caiC	b0037,ECK0038,JW0036,yaaM	0.7817569971084595	36271	37824	1554	1	2	221142682	putative crotonobetaine/carnitine-CoA ligase	
39	1	caiB	b0038,ECK0039,JW0037,yaaN	0.8168240189552307	37898	39115	1218	1	2	1786222	crotonobetainyl CoA:carnitine CoA transferase	
40	1	caiA	b0039,ECK0040,JW0038,yaaO	0.8458349704742432	39244	40386	1143	1	2	1786223	crotonobetaine reductase subunit II, FAD-binding	
41	1	caiT	b0040,ECK0041,JW0039,yaaP	0.8711169958114624	40417	41931	1515	1	2	1786224	putative transporter	
42	1	fixA	b0041,ECK0042,JW0040,yaaQ	0.9139220118522644	42403	43173	771	0	2	87081682	putative electron transfer flavoprotein subunit, required for anaerobic carnitine reduction	7473063
43	1	fixB	b0042,ECK0043,JW0041,yaaR	0.9308410286903381	43188	44129	942	0	2	1786226	putative electron transfer flavoprotein,NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein	7473063
44	1	fixC	b0043,ECK0044,JW0042,yaaS	0.9522219896316528	44180	45466	1287	0	2	1786227	putative oxidoreductase with FAD/NAD(P)-binding domain	7473063
45	1	fixX	b0044,ECK0045,JW0043,yaaT	0.9798750281333923	45463	45750	288	0	2	1786228	putative 4Fe-4S ferredoxin-type protein	7473063
46	1	yaaU	b0045,ECK0046,JW0044,o443,yabE	0.9872890114784241	45807	47138	1332	0	2	1786229	putative transporter	
47	1	kefF	b0046,ECK0047,JW0045,yabF	1.0183000564575195	47246	47776	531	0	2	1786231	potassium-efflux system ancillary protein for KefC, glutathione-regulated; quinone oxidoreductase, FMN-dependent	
48	1	kefC	b0047,ECK0048,JW0046,trkC	1.029579997062683	47769	49631	1863	0	2	1786232	potassium:proton antiporter	
49	1	folA	b0048,ECK0049,JW0047,tmrA	1.0738500356674194	49823	50302	480	0	1	1786233	dihydrofolate reductase	10408091
50	1	apaH	b0049,cfcB,ECK0050,JW0048	1.0858500003814697	50380	51222	843	1	2	1786234	diadenosine tetraphosphatase	2157025
51	1	apaG	b0050,corD,ECK0051,JW0049,temP	1.1041500568389893	51229	51606	378	1	2	1786235	protein associated with Co2+ and Mg2+ efflux	2157025
52	1	rsmA	b0051,ECK0052,JW0050,ksgA	1.112339973449707	51609	52430	822	1	2	1786236	16S rRNA m(6)A1518, m(6)A1519 dimethyltransferase, SAM-dependent	2157025
53	1	pdxA	b0052,ECK0053,JW0051	1.1299699544906616	52427	53416	990	1	2	1786237	4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent	
54	1	surA	b0053,ECK0054,JW0052	1.1512900590896606	53416	54702	1287	1	2	1786238	peptidyl-prolyl cis-trans isomerase (PPIase)	8878048
55	1	lptD	b0054,ECK0055,imp,JW0053,ostA,yabG	1.180150032043457	54755	57109	2355	1	1	1786239	LPS assembly OM complex LptDE, beta-barrel component	12207697
56	1	djlA	b0055,ECK0056,JW0054,yabH	1.2363799810409546	57364	58179	816	0	2	1786241	DnaJ-like protein, membrane anchored	
57	1	yabP	b0056,b0057,b4659,ECK0057,JW0055,yabQ	1.2603000402450562	58474	59269	796	0	2			
59	1	rluA	b0058,ECK0059,JW0057,yabO	1.2864500284194946	59687	60346	660	1	2	1786244	dual specificity 23S rRNA pseudouridine(746), tRNA pseudouridine(32) synthase, SAM-dependent	
60	1	rapA	b0059,ECK0060,hepA,JW0058,yabA	1.3009099960327148	60358	63264	2907	1	2	1786245	RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor)	9614128
61	1	polB	b0060,dinA,ECK0061,JW0059	1.3671000003814697	63429	65780	2352	1	2	1786246	DNA polymerase II	2261080
62	1	araD	b0061,ECK0062,JW0060	1.4193899631500244	65855	66550	696	1	2	1786247	L-ribulose-5-phosphate 4-epimerase	8435871
63	1	araA	b0062,ECK0063,JW0061	1.4405100345611572	66835	68337	1503	1	2	1786248	L-arabinose isomerase	
64	1	araB	b0063,ECK0064,JW0062	1.4731199741363525	68348	70048	1701	1	2	1786249	L-ribulokinase	
65	1	araC	b0064,ECK0065,JW0063	1.5170700550079346	70387	71265	879	0	2	1786251	DNA-binding transcriptional dual regulator	
66	1	yabI	b0065,ECK0066,JW5005	1.5378400087356567	71351	72115	765	0	2	1786252	inner membrane protein, SNARE_assoc family	
67	1	thiQ	b0066,ECK0067,JW0065,sfuC,yabJ	1.5567699670791626	72229	72927	699	1	2	1786253	thiamin transporter subunit	
68	1	thiP	b0067,ECK0068,JW0066,sfuB,yabK	1.571470022201538	72911	74521	1611	1	2	1786254	fused thiamin transporter subunits of ABC superfamily: membrane components	
69	1	thiB	b0068,ECK0069,f327,JW0067,sfuA,tbpA,yabL	1.6056499481201172	74497	75480	984	1	2	1786255	thiamin transporter subunit	
70	1	sgrR	b0069,ECK0070,JW0068,yabN	1.630370020866394	75644	77299	1656	1	2	1786256	transcriptional DNA-binding transcriptional activator of sgrS sRNA	
10005	4	sgrS	b4577,ECK0071,JWR0259,ryaA	1.6675100326538086	77367	77593	227	0	2		sRNA antisense regulator destabilzes ptsG mRNA, Hfq-dependent; regulated by sgrR	
10223	1	sgrT	b4662,ECK4477	1.6679600477218628	77388	77519	132	0	2	226510924	Inhibitor of glucose uptake	
71	1	setA	b0070,ECK0072,JW0069,yabM	1.6729799509048462	77621	78799	1179	0	2	48994875	broad specificity sugar efflux system	
72	1	leuD	b0071,ECK0073,JW0070	1.699429988861084	78848	79453	606	1	2	1786258	3-isopropylmalate dehydratase small subunit	
73	1	leuC	b0072,ECK0074,JW0071	1.7127100229263306	79464	80864	1401	1	2	1786259	3-isopropylmalate dehydratase large subunit	
74	1	leuB	b0073,ECK0075,JW5807	1.7429499626159668	80867	81958	1092	1	2	87081683	3-isopropylmalate dehydrogenase, NAD(+)-dependent	
75	1	leuA	b0074,ECK0076,JW0073	1.7664599418640137	81958	83529	1572	1	2	1786261	2-isopropylmalate synthase	
76	1	leuL	b0075,ECK0077,JW0074,leuLP	1.8023200035095215	83622	83708	87	1	2	1786263	leu operon leader peptide	
77	1	leuO	b0076,ECK0078,JW0075	1.8184000253677368	84368	85312	945	0	2	87081684	DNA-binding transcriptional activator	
78	1	ilvI	b0077,ECK0079,JW0076,o604	1.8456000089645386	85630	87354	1725	0	2	87081685	acetolactate synthase III, large subunit	
79	1	ilvH	b0078,brnP,ECK0080,JW0077	1.882830023765564	87357	87848	492	0	2	1786266	acetolactate synthase III, thiamin-dependent, small subunit	
81	1	cra	b0080,cra,ECK0081,fruC,fruR,fruS?,JW0078,serR?,shl	1.8972899913787842	88028	89032	1005	0	2	1786268	DNA-binding transcriptional repressor-activator for carbon metabolism	
82	1	mraZ	b0081,ECK0082,JW0079,yabB	1.9319000244140625	89634	90092	459	0	2	1786269	RsmH methytransferase inhibitor	
83	1	rsmH	b0082,ECK0083,JW0080,mraW,yabC	1.9418200254440308	90094	91035	942	0	2	1786270	16S rRNA m(4)C1402 methyltransferase, SAM-dependent	
84	1	ftsL	b0083,ECK0084,JW0081,mraR,pbpB,yabD	1.962030053138733	91032	91397	366	0	1	1786271	membrane bound cell division protein at septum containing leucine zipper motif	1332942
85	1	ftsI	b0084,ECK0085,JW0082,pbpB,sep	1.9702500104904175	91413	93179	1767	0	1	1786272	transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)	345275
86	1	murE	b0085,ECK0086,JW0083	2.0080299377441406	93166	94653	1488	0	1	1786273	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso- diaminopimelate ligase	9166795
87	1	murF	b0086,ECK0087,JW0084,mra	2.0400099754333496	94650	96008	1359	0	1	1786274	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D- alanine ligase	9166795
88	1	mraY	b0087,ECK0088,JW0085,murX	2.069149971008301	96002	97084	1083	0	1	1786275	phospho-N-acetylmuramoyl-pentapeptide transferase	9829961
89	1	murD	b0088,ECK0089,JW0086	2.0925400257110596	97087	98403	1317	0	1	1786276	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase	9166795
90	1	ftsW	b0089,ECK0090,JW0087	2.1208999156951904	98403	99647	1245	0	1	1786277	lipid II flippase; integral membrane protein involved in stabilizing FstZ ring during cell division	9218774
91	1	murG	b0090,ECK0091,JW0088	2.1476500034332275	99644	100711	1068	0	1	1786278	N-acetylglucosaminyl transferase	1649817
92	1	murC	b0091,ECK0092,JW0089	2.1718099117279053	100765	102240	1476	0	1	1786279	UDP-N-acetylmuramate:L-alanine ligase	9166795
93	1	ddlB	b0092,ddl,ECK0093,JW0090	2.2034499645233154	102233	103153	921	0	2	1786280	D-alanine:D-alanine ligase	
94	1	ftsQ	b0093,ECK0094,JW0091	2.2233200073242188	103155	103985	831	0	1	1786281	divisome assembly protein, membrane anchored protein involved in growth of wall at septum	9882666
95	1	ftsA	b0094,divA,ECK0095,JW0092	2.24114990234375	103982	105244	1263	0	1	1786282	ATP-binding cell division protein involved in recruitment of FtsK to Z ring	2228979
96	1	ftsZ	b0095,ECK0096,JW0093,sfiB,sulB	2.269659996032715	105305	106456	1152	0	1	1786284	GTP-binding tubulin-like cell division protein	8016071
97	1	lpxC	asmB,b0096,ECK0097,envA,JW0094	2.296649932861328	106557	107474	918	0	1	1786285	UDP-3-O-acyl N-acetylglucosamine deacetylase	2824434
98	1	secM	b0097,ECK0098,JW5007,srrA,yacA	2.32138991355896	107705	108217	513	0	1	87081686	regulator of secA translation	
99	1	secA	azi,b0098,ECK0099,JW0096,pea,prlD	2.3337600231170654	108279	110984	2706	0	1	1786287	preprotein translocase subunit, ATPase	1649817
100	1	mutT	b0099,ECK0100,JW0097,nudA	2.393359899520874	111044	111433	390	0	2	1786288	nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP	
101	1	yacG	b0100,b0101,ECK0101,f44,JW5008	2.406399965286255	111649	111846	198	1	2	1786290	DNA gyrase inhibitor	
103	1	zapD	b0102,ECK0102,JW0099,yacF	2.410860061645508	111856	112599	744	1	2	1786291	FtsZ stabilizer	
104	1	coaE	b0103,ECK0103,JW0100,yacE	2.426870107650757	112599	113219	621	1	1	1786292	dephospho-CoA kinase	11292795
105	1	guaC	b0104,ECK0104,f35,JW0101	2.4450900554656982	113444	114487	1044	0	2	1786293	GMP reductase	
107	1	hofC	b0106,ECK0105,f400,hopC,JW0102,yacD	2.468319892883301	114522	115724	1203	1	2	1786295	assembly protein in type IV pilin biogenesis, transmembrane protein	
108	1	hofB	b0107,ECK0106,hopB,JW0103	2.4940099716186523	115714	117099	1386	1	2	1786296	conserved protein with nucleoside triphosphate hydrolase domain	
109	1	ppdD	b0108,ECK0107,JW0104	2.5240800380706787	117109	117549	441	1	2	1786297	putative major pilin subunit	
110	1	nadC	b0109,ECK0108,JW0105	2.53794002532959	117752	118645	894	1	2	1786299	quinolinate phosphoribosyltransferase	
111	1	ampD	b0110,ECK0109,JW0106	2.559079885482788	118733	119284	552	0	2	1786300	1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase	
112	1	ampE	b0111,ECK0110,JW0107	2.570889949798584	119281	120135	855	0	2	1786301	putative inner membrane protein	
113	1	aroP	b0112,ECK0111,JW0108	2.5902199745178223	120178	121551	1374	1	2	1786302	aromatic amino acid transporter	327021
114	1	pdhR	aceC,b0113,ECK0112,genA,JW0109,yacB	2.6314799785614014	122092	122856	765	0	2	1786303	DNA-binding transcriptional dual regulator	
115	1	aceE	aceE1,b0114,ECK0113,JW0110	2.6514101028442383	123017	125680	2664	0	2	1786304	pyruvate dehydrogenase, decarboxylase component E1, thiamin-binding	
116	1	aceF	aceE2,b0115,ECK0114,JW0111	2.709130048751831	125695	127587	1893	0	2	1786305	pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2	
117	1	lpd	b0116,dhl,ECK0115,JW0112,lpdA	2.756920099258423	127912	129336	1425	0	2	1786307	lipoamide dehydrogenase, E3 component is part of three enzyme complexes	
118	1	yacH	b0117,ECK0116,f617,JW0113	2.789139986038208	129407	131260	1854	1	2	1786308	hypothetical protein	
119	1	acnB	b0118,ECK0117,JW0114,yacI,yacJ	2.8367300033569336	131615	134212	2598	0	2	2367097	bifunctional aconitate hydratase2/2-methylisocitrate dehydratase	8932712
120	1	yacL	b0119,ECK0118,JW0115	2.8965001106262207	134388	134750	363	0	2	87081687	hypothetical protein	
121	1	speD	b0120,ECK0119,JW0116	2.9051198959350586	134788	135582	795	1	2	1786311	S-adenosylmethionine decarboxylase	8472951
122	1	speE	b0121,ECK0120,JW0117	2.9225800037384033	135598	136464	867	1	2	1786312	spermidine synthase (putrescine aminopropyltransferase)	8472951
123	1	yacC	b0122,ECK0121,gspS,JW0118	2.9435300827026367	136570	136917	348	1	2	87081688	conserved protein, PulS_OutS family	
124	1	cueO	b0123,cuiD,ECK0122,JW0119,o516,yacK	2.954580068588257	137083	138633	1551	0	2	1786314	multicopper oxidase (laccase)	
125	1	gcd	b0124,ECK0123,JW0120	2.992340087890625	138835	141225	2391	1	2	1786316	glucose dehydrogenase	9353919
126	1	hpt	b0125,ECK0124,JW5009	3.04830002784729	141431	141967	537	0	2	87081689	hypoxanthine phosphoribosyltransferase	6787390
127	1	can	b0126,ECK0125,f220,JW0122,yadF	3.06072998046875	142008	142670	663	1	1	1786318	carbonic anhydrase	12784642
128	1	yadG	b0127,ECK0126,JW0123,nodI	3.077349901199341	142779	143705	927	0	2	1786319	putative transporter subunit: ATP-binding component of ABC superfamily	
129	1	yadH	b0128,ECK0127,JW0124,nodJ	3.0972399711608887	143702	144472	771	0	2	1786320	putative transporter subunit: membrane component of ABC superfamily	
130	1	yadI	agaX,b0129,ECK0128,JW0125,levD	3.1161000728607178	144577	145017	441	0	2	1786321	putative PTS Enzyme IIA	
131	1	yadE	b0130,ECK0129,JW0126,o409	3.126960039138794	145081	146310	1230	0	2	1786322	putative polysaccharide deacetylase lipoprotein	
132	1	panD	b0131,ECK0130,JW0127	3.1535398960113525	146314	146694	381	1	2	1786323	aspartate 1-decarboxylase	
133	1	yadD	b0132,ECK0131,JW5010	3.167639970779419	146968	147870	903	0	2	1786324	putative transposase	
134	1	panC	b0133,ECK0132,JW0129	3.1886699199676514	147944	148795	852	1	2	1786325	pantothenate synthetase	
135	1	panB	b0134,ECK0133,JW0130,panA	3.2072699069976807	148807	149601	795	1	2	1786326	3-methyl-2-oxobutanoate hydroxymethyltransferase	
136	1	yadC	b0135,ECK0134,JW0131	3.226840019226074	149715	150953	1239	1	2	1786328	putative fimbrial-like adhesin protein	
137	1	yadK	b0136,ECK0135,JW0132	3.2546000480651855	151003	151599	597	1	2	1786329	putative fimbrial-like adhesin protein	
138	1	yadL	b0137,ECK0136,JW0133	3.2680299282073975	151626	152231	606	1	2	1786330	putative fimbrial-like adhesin protein	
139	1	yadM	b0138,ECK0137,JW0134	3.281330108642578	152243	152812	570	1	2	87081690	putative fimbrial-like adhesin protein	
140	1	htrE	b0139,ECK0138,JW0135	3.2939600944519043	152829	155426	2598	1	2	1786332	putative outer membrane usher protein	8102362
141	1	yadV	b0140,ECK0139,ecpD,JW0136	3.3506898880004883	155461	156201	741	1	2	1786333	putative periplasmic pilin chaperone	8102362
142	1	yadN	b0141,ECK0140,JW0137	3.3687500953674316	156299	156883	585	1	2	1786334	putative fimbrial-like adhesin protein	
143	1	folK	b0142,ECK0141,JW0138	3.389309883117676	157253	157732	480	1	1	1786335	2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase	1325970
144	1	pcnB	b0143,ECK0142,f454,JW5808	3.3995699882507324	157729	159126	1398	1	2	87081691	poly(A) polymerase	
145	1	gluQ	b0144,ECK0143,JW5892,yadB	3.4309699535369873	159186	160112	927	1	2	226510925	glutamyl-Q tRNA(Asp) synthetase	
146	1	dksA	b0145,ECK0144,JW0141,msmA	3.4517300128936768	160149	160604	456	1	2	1786338	DNA-binding transcriptional regulator of rRNA transcription, DnaK suppressor protein	
147	1	sfsA	b0146,ECK0145,JW0142,sfs,sfs1	3.465369939804077	160782	161486	705	1	2	1786340	putative DNA-binding transcriptional regulator	
148	1	ligT	b0147,ECK0146,JW5011,yadP	3.480870008468628	161501	162031	531	1	2	87081692	2'-5' RNA ligase	
149	1	hrpB	b0148,ECK0147,JW0144,o824,yadO	3.4938900470733643	162105	164534	2430	0	2	87081693	putative ATP-dependent helicase	
150	1	mrcB	b0149,ECK0148,JW0145,pbpF,ponB	3.55046010017395	164730	167264	2535	0	2	1786343	fused glycosyl transferase and transpeptidase	2993822
151	1	fhuA	b0150,ECK0149,JW0146,T1,tonA	3.6098198890686035	167484	169727	2244	0	2	1786344	ferrichrome outer membrane transporter	7688295
152	1	fhuC	b0151,ECK0150,JW0147	3.6592700481414795	169778	170575	798	0	2	1786345	iron-hydroxamate transporter subunit	9613584
153	1	fhuD	b0152,ECK0151,JW0148	3.6764400005340576	170575	171465	891	0	2	1786346	iron-hydroxamate transporter subunit	9613584
154	1	fhuB	b0153,ECK0152,JW0149	3.6955599784851074	171462	173444	1983	0	2	1786347	fused iron-hydroxamate transporter subunits of ABC superfamily: membrane components	9613584
155	1	hemL	b0154,ECK0153,gsa,gsa?,JW0150,popC	3.7416799068450928	173602	174882	1281	1	1	1786349	glutamate-1-semialdehyde aminotransferase (aminomutase)	1427085
156	1	clcA	b0155,ECK0154,eriC,JW5012,yadQ	3.7741200923919678	175107	176528	1422	0	2	1786350	H(+)/Cl(-) exchange transporter	
157	1	erpA	b0156,ECK0155,JW0152,yadR	3.8065199851989746	176610	176954	345	0	1	1786351	iron-sulfur cluster insertion protein	
158	1	yadS	b0157,ECK0156,JW0153	3.8149399757385254	177001	177624	624	1	2	1786352	inner membrane protein, UPF0126 family	
159	1	btuF	b0158,ECK0157,JW0154,yadT	3.8291900157928467	177662	178462	801	1	2	1786353	vitamin B12 transporter subunit: periplasmic-binding component of ABC superfamily	
160	1	mtn	b0159,b0159:LocusTag,ECK0158,JW0155,mtnN,pfs,yadA	3.846280097961426	178455	179153	699	1	2	1786354	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	
161	1	dgt	b0160,ECK0159,JW0156,optA	3.863140106201172	179237	180754	1518	0	2	1786355	deoxyguanosine triphosphate triphosphohydrolase	
162	1	degP	b0161,ECK0160,htrA,JW0157,ptd	3.8986399173736572	180884	182308	1425	0	2	1786356	serine endoprotease (protease Do), membrane-associated	2540154
163	1	cdaR	b0162,ECK0161,JW5013,sdaR,yaeG	3.9326701164245605	182463	183620	1158	0	2	87081694	DNA-binding transcriptional regulator for gar and gud operons; carbohydrate diacid regulator	
164	1	yaeH	b0163,ECK0162,JW0159	3.959520101547241	183709	184095	387	1	2	1786359	conserved protein, UPF0325 family	
165	1	yaeI	b0164,ECK0163,f43,JW5014	3.971329927444458	184257	185069	813	1	2	87081695	phosphodiesterase with model substrate bis-pNPP	
166	1	dapD	b0166,ECK0164,JW0161,ssa	3.990000009536743	185123	185947	825	1	1	1786362	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase	1646386
168	1	glnD	b0167,ECK0165,JW0162	4.008430004119873	185978	188650	2673	1	2	1786363	uridylyltransferase	2865248
169	1	map	b0168,ECK0166,JW0163,pepM	4.067349910736084	188712	189506	795	1	1	1786364	methionine aminopeptidase	9335267
10006	4	tff	b4414,ECK0167,JWR0225,t44	4.088910102844238	189712	189847	136	0	2		novel sRNA, function unknown	
170	1	rpsB	b0169,ECK0168,JW0164	4.092400074005127	189874	190599	726	0	1	1786365	30S ribosomal subunit protein S2	9335267
171	1	tsf	b0170,ECK0169,JW0165	4.113589763641357	190857	191708	852	0	1	1786366	protein chain elongation factor EF-Ts	
172	1	pyrH	b0171,ECK0170,JW0166,smbA,umk	4.1350998878479	191855	192580	726	0	1	1786367	uridylate kinase	1447125
173	1	frr	b0172,ECK0171,JW0167,rrf	4.157020092010498	192872	193429	558	0	1	1786368	ribosome recycling factor	8183897
174	1	dxr	b0173,ECK0172,ispC,JW0168,yaeM	4.171000003814697	193521	194717	1197	0	1	1786369	1-deoxy-D-xylulose 5-phosphate reductoisomerase	9707569
175	1	ispU	b0174,ECK0173,JW0169,o253,orf18,rth,uppS,yaeS	4.200789928436279	194903	195664	762	0	1	1786371	undecaprenyl pyrophosphate synthase	10217761
176	1	cdsA	b0175,ECK0174,geneA,JW5810	4.217470169067383	195677	196534	858	0	1	87081696	CDP-diglyceride synthase	10217761
177	1	rseP	b0176,ecfE,ECK0175,JW0171,yaeL	4.236199855804443	196546	197898	1353	0	1	1786373	inner membrane zinc RIP metalloprotease; RpoE activator, by degrading RseA; cleaved signal peptide endoprotease	11750129
178	1	bamA	b0177,ecfK,ECK0176,JW0172,o810,omp85,yaeT,yzzN,yzzY	4.265989780426025	197928	200360	2433	0	1	1786374	outer membrane protein assembly factor, forms pores; required for OM biogenesis; in BamABCDE OM protein complex	
179	1	skp	b0178,ECK0177,hlpA,JW0173,ompH	4.321040153503418	200482	200967	486	0	2	1786375	periplasmic chaperone	1602961
180	1	lpxD	b0179,ECK0178,fir,firA,hlpA,JW0174,ompH,omsA,skp,ssc	4.331570148468018	200971	201996	1026	0	1	1786376	UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase	1602961
181	1	fabZ	b0180,ECK0179,JW0175,sabA,sefA,sfhC,yaeA	4.355929851531982	202101	202556	456	0	1	1786377	(3R)-hydroxymyristol acyl carrier protein dehydratase	8910376
182	1	lpxA	b0181,ECK0180,JW0176	4.365819931030273	202560	203348	789	0	1	1786378	UDP-N-acetylglucosamine acetyltransferase	7806516
183	1	lpxB	b0182,ECK0181,JW0177,pgsB	4.382810115814209	203348	204496	1149	0	1	1786379	tetraacyldisaccharide-1-P synthase	3316192
184	1	rnhB	b0183,ECK0182,JW0178,o198	4.407489776611328	204493	205089	597	0	2	1786380	ribonuclease HII, degrades RNA of DNA-RNA hybrids	
185	1	dnaE	b0184,ECK0183,JW0179,polC,sdgC	4.421130180358887	205126	208608	3483	0	1	1786381	DNA polymerase III alpha subunit	355225
