	ID	name	annot	nbIns	nbsites	insRate	call	Bayes_class	Bayes_class_4	biotradis	Chaudhuri	Santiago	valentino
60	SAOUHSC_00067	SAOUHSC_00067	L-lactate permease	87	148	0.5878378378378378	NE	NE	NE	NE	NA	NE	NA
61	SAOUHSC_00069	SAOUHSC_00069	protein A	55	91	0.6043956043956044	NE	NE	NE	NE	NA	NE	NA
62	SAOUHSC_00070	SAOUHSC_00070	staphylococcal accessory regulator-like protein	47	72	0.6527777777777778	NE	NE	NE	NE	NA	DES	NA
63	SAOUHSC_00071	SAOUHSC_00071	lipoprotein%2C SirC%2C putative	71	90	0.7888888888888889	NE	NE	NE	NE	NA	DES	NA
64	SAOUHSC_00072	SAOUHSC_00072	lipoprotein%2C SirB%2C putative	58	89	0.651685393258427	NE	NE	NE	NE	NA	NE	NA
65	SAOUHSC_00074	SAOUHSC_00074	periplasmic binding protein%2C putative	41	84	0.4880952380952381	NE	NE	NE	NE	NA	NE	NA
66	SAOUHSC_00075	SAOUHSC_00075	conserved hypothetical protein	37	61	0.6065573770491803	NE	NE	NE	NE	NA	NE	NA
67	SAOUHSC_00076	SAOUHSC_00076	ornithine cyclodeaminase%2C putative	47	79	0.5949367088607594	NE	NE	NE	NE	NA	NE	NA
68	SAOUHSC_00077	SAOUHSC_00077	conserved hypothetical protein	79	151	0.5231788079470199	NE	NE	NE	NE	NA	NE	NA
69	SAOUHSC_00078	SAOUHSC_00078	conserved hypothetical protein	69	108	0.6388888888888888	NE	NE	NE	NE	NA	NE	NA
70	SAOUHSC_00079	SAOUHSC_00079	conserved hypothetical protein	86	147	0.5850340136054422	NE	NE	NE	NE	NA	NE	NA
71	SAOUHSC_00080	SAOUHSC_00080	conserved hypothetical protein	84	154	0.5454545454545454	NE	NE	NE	NE	NA	NE	NA
72	SAOUHSC_00081	SAOUHSC_00081	conserved hypothetical protein	32	57	0.5614035087719298	NE	NE	NE	NE	NA	NE	NA
73	SAOUHSC_00082	SAOUHSC_00082	conserved hypothetical protein	60	89	0.6741573033707865	NE	NE	NE	NE	NA	NE	NA
74	SAOUHSC_00083	SAOUHSC_00083	conserved hypothetical protein	38	59	0.6440677966101694	NE	NE	NE	NE	NA	NE	NA
75	SAOUHSC_00084	SAOUHSC_00084	conserved hypothetical protein	21	41	0.5121951219512195	NE	NE	NE	NE	NA	NE	NA
76	SAOUHSC_00085	SAOUHSC_00085	conserved hypothetical protein	50	69	0.7246376811594203	NE	NE	NE	NE	NA	NE	NA
77	SAOUHSC_00086	SAOUHSC_00086	3-ketoacyl-acyl carrier protein reductase%2C putative	26	48	0.5416666666666666	NE	NE	NE	NE	NA	NE	NA
78	SAOUHSC_00087	SAOUHSC_00087	conserved hypothetical protein	7	15	0.4666666666666667	S	NE	NE	NE	NA	NE	NA
79	SAOUHSC_00088	SAOUHSC_00088	conserved hypothetical protein	68	99	0.6868686868686869	NE	NE	NE	NE	NA	NE	NA
80	SAOUHSC_00089	SAOUHSC_00089	conserved hypothetical protein	36	66	0.5454545454545454	NE	NE	NE	NE	NA	NE	NA
81	SAOUHSC_00090	SAOUHSC_00090	conserved hypothetical protein	70	110	0.6363636363636364	NE	NE	NE	NE	NA	NE	NA
82	SAOUHSC_00091	SAOUHSC_00091	conserved hypothetical protein	102	147	0.6938775510204082	NE	NE	NE	NE	NA	NE	NA
83	SAOUHSC_00092	SAOUHSC_00092	conserved hypothetical protein	111	166	0.6686746987951807	NE	NE	NE	NE	NA	NE	NA
84	SAOUHSC_00093	SAOUHSC_00093	superoxide dismutase%2C putative	28	47	0.5957446808510638	NE	NE	NE	NE	NA	DES	NA
85	SAOUHSC_00094	SAOUHSC_00094	conserved hypothetical protein	36	46	0.782608695652174	NE	NE	NE	NE	NA	NE	NA
86	SAOUHSC_00096	SAOUHSC_00096	transcriptional regulator%2C GntR family%2C putative	43	61	0.7049180327868853	NE	NE	NE	NE	NA	NE	NA
87	SAOUHSC_00097	SAOUHSC_00097	catalyzes the reversible phosphorolysis of ribonucleosides and 2'- deoxyribonucleosides to the free base and (2'-deoxy)ribose-1- phosphate	32	49	0.6530612244897959	NE	NE	NE	NE	NA	NE	NA
88	SAOUHSC_00099	SAOUHSC_00099	conserved hypothetical protein	102	159	0.6415094339622641	NE	NE	NE	NE	NA	NE	NA
89	SAOUHSC_00100	SAOUHSC_00100	catalyzes the formation of D-glyceraldehyde 3-phosphate and acetaldehyde from 2-deoxy-D-ribose-5-phosphate	30	39	0.7692307692307693	NE	NE	NE	NE	NA	NE	ES
90	SAOUHSC_00101	SAOUHSC_00101	catalyzes the transfer of phosphate between the C1 and C5 carbons of pentose	65	107	0.6074766355140186	NE	NE	NE	NE	NA	NE	NA
91	SAOUHSC_00102	SAOUHSC_00102	phosphonates ABC transporter%2C permease protein CC0363%2C putative	54	81	0.6666666666666666	NE	NE	NE	NE	NA	NE	NA
92	SAOUHSC_00103	SAOUHSC_00103	phosphonates ABC transporter%2C permease protein CC0363%2C putative	48	79	0.6075949367088608	NE	NE	NE	NE	NA	NE	NA
93	SAOUHSC_00104	SAOUHSC_00104	amino acid ABC transporter%2C ATP-binding protein%2C putative	44	68	0.6470588235294118	NE	NE	NE	NE	NA	NE	NA
94	SAOUHSC_00105	SAOUHSC_00105	phosphonate ABC transporter%2C substrate-binding protein%2C putative	42	82	0.5121951219512195	NE	NE	NE	NE	NA	NE	NA
95	SAOUHSC_00106	SAOUHSC_00106	conserved hypothetical protein	73	112	0.6517857142857143	NE	NE	NE	NE	NA	NE	NA
96	SAOUHSC_00107	SAOUHSC_00107	conserved hypothetical protein	73	132	0.553030303030303	NE	NE	NE	NE	NA	NE	NA
97	SAOUHSC_00108	SAOUHSC_00108	conserved hypothetical protein	15	25	0.6	NE	NE	NE	NE	NA	NE	NA
98	SAOUHSC_00109	SAOUHSC_00109	replication initiation protein%2C putative	28	47	0.5957446808510638	NE	NE	NE	NE	NA	NE	NA
99	SAOUHSC_00111	SAOUHSC_00111	-	15	38	0.39473684210526316	NE	NE	NE	NE	NA	NE	NA
100	SAOUHSC_00113	SAOUHSC_00113	alcohol dehydrogenase%2C iron-containing%2C putative	121	203	0.5960591133004927	NE	NE	NE	NE	NA	NE	NA
101	SAOUHSC_00114	SAOUHSC_00114	capsular polysaccharide biosynthesis protein%2C putative	41	70	0.5857142857142857	NE	NE	NE	NE	NA	NE	NA
102	SAOUHSC_00115	SAOUHSC_00115	capsular polysaccharide synthesis enzyme Cap5B	46	64	0.71875	NE	NE	NE	NE	NA	NE	NA
103	SAOUHSC_00116	SAOUHSC_00116	capsular polysaccharide synthesis enzyme Cap8C	44	73	0.6027397260273972	NE	NE	NE	NE	NA	NE	NA
104	SAOUHSC_00117	SAOUHSC_00117	capsular polysaccharide biosynthesis protein Cap5D%2C putative	97	156	0.6217948717948718	NE	NE	NE	NE	NA	NE	NA
105	SAOUHSC_00118	SAOUHSC_00118	capsular polysaccharide biosynthesis protein Cap5E%2C putative	50	87	0.5747126436781609	NE	NE	NE	NE	NA	NE	NA
106	SAOUHSC_00119	SAOUHSC_00119	capsular polysaccharide synthesis enzyme Cap8F	77	110	0.7	NE	NE	NE	NE	NA	NE	NA
107	SAOUHSC_00120	SAOUHSC_00120	UDP-N-acetylglucosamine 2-epimerase	51	97	0.5257731958762887	NE	NE	NE	NE	NA	NE	NA
108	SAOUHSC_00121	SAOUHSC_00121	capsular polysaccharide synthesis enzyme O-acetyl transferase Cap5H%2C putative	30	57	0.5263157894736842	NE	NE	NE	NE	NA	NE	NA
109	SAOUHSC_00122	SAOUHSC_00122	capsular polysaccharide biosynthesis protein Cap5I%2C putative	69	121	0.5702479338842975	NE	NE	NE	NE	NA	NE	NA
110	SAOUHSC_00123	SAOUHSC_00123	capsular polysaccharide biosynthesis protein Cap5J%2C putative	113	155	0.7290322580645161	NE	NE	NE	NE	NA	NE	NA
111	SAOUHSC_00124	SAOUHSC_00124	capsular polysaccharide biosynthesis protein Cap5K%2C putative	116	165	0.703030303030303	NE	NE	NE	NE	NA	NE	NA
112	SAOUHSC_00125	SAOUHSC_00125	cap5L protein/glycosyltransferase%2C putative	65	106	0.6132075471698113	NE	NE	NE	NE	NA	NE	NA
113	SAOUHSC_00126	SAOUHSC_00126	capsular polysaccharide biosynthesis protein Cap8M	39	56	0.6964285714285714	NE	NE	NE	NE	NA	NE	NA
114	SAOUHSC_00127	SAOUHSC_00127	cap5N protein/UDP-glucose 4-epimerase%2C putative	54	77	0.7012987012987013	NE	NE	NE	NE	NA	NE	NA
115	SAOUHSC_00128	SAOUHSC_00128	cap5O protein/UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase	75	107	0.7009345794392523	NE	NE	NE	NE	NA	NE	NA
116	SAOUHSC_00129	SAOUHSC_00129	UDP-N-acetylglucosamine 2-epimerase	52	86	0.6046511627906976	NE	NE	NE	NE	NA	NE	NA
117	SAOUHSC_00130	SAOUHSC_00130	iron regulated%3B catalyzes the release of heme from hemoglobin allowing bacterial pathogens to use the host heme as an iron source	22	31	0.7096774193548387	NE	NE	NE	NE	NA	NE	NA
118	SAOUHSC_00131	SAOUHSC_00131	conserved hypothetical protein	20	42	0.47619047619047616	NE	NE	NE	NE	NA	NE	NA
119	SAOUHSC_00132	SAOUHSC_00132	aldehyde dehydrogenase%2C putative	61	122	0.5	NE	NE	NE	NE	NA	NE	NA
120	SAOUHSC_00133	SAOUHSC_00133	conserved hypothetical protein	54	86	0.627906976744186	NE	NE	NE	NE	NA	NE	NA
121	SAOUHSC_00134	SAOUHSC_00134	conserved hypothetical protein	13	17	0.7647058823529411	NE	NE	NE	NE	NA	NE	NA
122	SAOUHSC_00135	SAOUHSC_00135	conserved hypothetical protein	35	42	0.8333333333333334	NE	NE	NE	NE	NA	NE	NA
123	SAOUHSC_00136	SAOUHSC_00136	conserved hypothetical protein	35	62	0.5645161290322581	NE	NE	NE	NE	NA	NE	NA
124	SAOUHSC_00137	SAOUHSC_00137	conserved hypothetical protein	45	76	0.5921052631578947	NE	NE	NE	NE	NA	NE	NA
125	SAOUHSC_00138	SAOUHSC_00138	conserved hypothetical protein	37	71	0.5211267605633803	NE	NE	NE	NE	NA	NE	NA
126	SAOUHSC_00139	SAOUHSC_00139	conserved hypothetical protein	40	75	0.5333333333333333	NE	NE	NE	NE	NA	NE	NA
127	SAOUHSC_00141	SAOUHSC_00141	conserved hypothetical protein	26	37	0.7027027027027027	NE	NE	NE	NE	NA	NE	NA
128	SAOUHSC_00142	SAOUHSC_00142	Catalyzes the reversible two-electron oxidation of formate to carbon dioxide. It allows the assimilation of carbon dioxide and provides energy for growth through oxidative phosphorylation coupled to the reduction of oxygen%2C nitrate%2C sulphate or fumarate	50	89	0.5617977528089888	NE	NE	NE	NE	NA	NE	NA
129	SAOUHSC_00143	SAOUHSC_00143	conserved hypothetical protein	92	140	0.6571428571428571	NE	NE	NE	NE	NA	NE	NA
130	SAOUHSC_00144	SAOUHSC_00144	conserved hypothetical protein	419	636	0.6588050314465409	NE	NE	NE	NE	NA	NE	NA
131	SAOUHSC_00145	SAOUHSC_00145	conserved hypothetical protein	41	58	0.7068965517241379	NE	NE	NE	NE	NA	NE	NA
132	SAOUHSC_00146	SAOUHSC_00146	conserved hypothetical protein	24	42	0.5714285714285714	NE	NE	NE	NE	NA	NE	NA
133	SAOUHSC_00147	SAOUHSC_00147	acetylglutamate kinase%2C putative	42	67	0.6268656716417911	NE	NE	NE	NE	NA	NE	NA
134	SAOUHSC_00148	argJ	bifunctional arginine biosynthesis protein ArgJ%3B functions at the 1st and 5th steps in arginine biosynthesis%3B involved in synthesis of acetylglutamate from glutamate and acetyl-CoA and ornithine by transacetylation between acetylornithine and glutmate	61	94	0.648936170212766	NE	NE	NE	NE	NA	NE	NA
135	SAOUHSC_00149	argC	catalyzes the reduction of N-acetyl-5-glutamyl phosphate to N-acetyl-L-glutamate 5-semialdehyde in arginine biosynthesis and the reduction of N-acetyl-gamma-aminoadipyl-phosphate to N-acetyl-L-aminoadipate-semialdehyde in lysine biosynthesis%3B involved in both the arginine and lysine biosynthetic pathways%3B lysine is produced via the AAA pathway%2C lysine from alpha-aminoadipate	60	91	0.6593406593406593	NE	NE	NE	NE	NA	NE	NA
136	SAOUHSC_00150	SAOUHSC_00150	ornithine aminotransferase%2C putative	59	88	0.6704545454545454	NE	NE	NE	NE	NA	NE	NA
137	SAOUHSC_00151	SAOUHSC_00151	branched-chain amino acid transport system II carrier protein	78	136	0.5735294117647058	NE	NE	NE	NE	NA	NE	NA
138	SAOUHSC_00152	SAOUHSC_00152	conserved hypothetical protein	22	39	0.5641025641025641	NE	NE	NE	NE	NA	NE	NA
139	SAOUHSC_00153	SAOUHSC_00153	indolepyruvate decarboxylase%2C putative	84	138	0.6086956521739131	NE	NE	NE	NE	NA	NE	NA
140	SAOUHSC_00154	SAOUHSC_00154	conserved hypothetical protein	10	11	0.9090909090909091	S	NE	NE	NE	NA	NE	NA
141	SAOUHSC_00155	SAOUHSC_00155	PTS system%2C glucose-specific component	107	171	0.6257309941520468	NE	NE	NE	NE	NA	NE	NA
142	SAOUHSC_00156	SAOUHSC_00156	conserved hypothetical protein	38	80	0.475	NE	NE	NE	NE	NA	NE	NA
143	SAOUHSC_00157	murQ	catalyzes the cleavage of the lactyl ether moiety of N-acetylmuramic acid-6-phosphate (MurNAc-6-P) to form N-acetylglucosamine-6-phosphate (GlcNAc-6-P) and lactate%3B involved in MurNAc dissimilation pathway	36	70	0.5142857142857142	NE	NE	NE	NE	NA	NE	NA
144	SAOUHSC_00158	SAOUHSC_00158	PTS system component	100	141	0.7092198581560284	NE	NE	NE	NE	NA	NE	NA
145	SAOUHSC_00160	SAOUHSC_00160	conserved hypothetical protein	51	73	0.6986301369863014	NE	NE	NE	NE	NA	NE	NA
146	SAOUHSC_00161	SAOUHSC_00161	conserved hypothetical protein	26	36	0.7222222222222222	NE	NE	NE	NE	NA	NE	NA
147	SAOUHSC_00162	SAOUHSC_00162	type I site-specific deoxyribonuclease%2C HsdR family%2C putative	137	256	0.53515625	NE	NE	NE	NE	NA	NE	NA
148	SAOUHSC_00163	SAOUHSC_00163	conserved hypothetical protein	52	88	0.5909090909090909	NE	NE	NE	NE	NA	NE	NA
149	SAOUHSC_00164	SAOUHSC_00164	conserved hypothetical protein	63	98	0.6428571428571429	NE	NE	NE	NE	NA	NE	NA
150	SAOUHSC_00166	SAOUHSC_00166	conserved hypothetical protein	79	130	0.6076923076923076	NE	NE	NE	NE	NA	NE	NA
151	SAOUHSC_00167	SAOUHSC_00167	peptide ABC transporter%2C ATP-binding protein%2C putative	71	126	0.5634920634920635	NE	NE	NE	NE	NA	NE	NA
152	SAOUHSC_00168	SAOUHSC_00168	conserved hypothetical protein	90	145	0.6206896551724138	NE	NE	NE	NE	NA	NE	NA
153	SAOUHSC_00169	SAOUHSC_00169	peptide ABC transporter%2C permease protein%2C putative	76	129	0.5891472868217055	NE	NE	NE	NE	NA	NE	NA
154	SAOUHSC_00170	SAOUHSC_00170	conserved hypothetical protein	98	160	0.6125	NE	NE	NE	NE	NA	NE	NA
155	SAOUHSC_00171	SAOUHSC_00171	gamma-glutamyltranspeptidase%2C putative	120	168	0.7142857142857143	NE	NE	NE	NE	NA	NE	NA
156	SAOUHSC_00172	SAOUHSC_00172	conserved hypothetical protein	42	73	0.5753424657534246	NE	NE	NE	NE	NA	NE	NA
157	SAOUHSC_00173	SAOUHSC_00173	FMN-dependent%3B requires NADH%3B catalyzes the cleavage of azo bond in aromatic azo compounds	36	55	0.6545454545454545	NE	NE	NE	NE	NA	NE	NA
158	SAOUHSC_00174	SAOUHSC_00174	M23/M37 peptidase domain protein	30	52	0.5769230769230769	NE	NE	NE	NE	NA	NE	NA
159	SAOUHSC_00175	SAOUHSC_00175	multiple sugar-binding transport ATP-binding protein%2C putative	55	89	0.6179775280898876	NE	NE	NE	NE	NA	NE	NA
160	SAOUHSC_00176	SAOUHSC_00176	bacterial extracellular solute-binding protein%2C putative	61	114	0.5350877192982456	NE	NE	NE	NE	NA	NE	NA
161	SAOUHSC_00177	SAOUHSC_00177	maltose ABC transporter%2C permease protein%2C putative	74	122	0.6065573770491803	NE	NE	NE	NE	NA	NE	NA
162	SAOUHSC_00178	SAOUHSC_00178	maltose ABC transporter%2C permease protein	49	83	0.5903614457831325	NE	NE	NE	NE	NA	NE	NA
163	SAOUHSC_00179	SAOUHSC_00179	conserved hypothetical protein	34	61	0.5573770491803278	NE	NE	NE	NE	NA	NE	NA
164	SAOUHSC_00180	SAOUHSC_00180	conserved hypothetical protein	46	77	0.5974025974025974	NE	NE	NE	NE	NA	NE	NA
165	SAOUHSC_00181	SAOUHSC_00181	conserved hypothetical protein	58	88	0.6590909090909091	NE	NE	NE	NE	NA	NE	NA
166	SAOUHSC_00182	SAOUHSC_00182	conserved hypothetical protein	63	79	0.7974683544303798	NE	NE	NE	NE	NA	NE	NA
167	SAOUHSC_00183	uhpT	cytoplasmic membrane protein that functions as a monomer%3B catalyzes the active transport of sugar-phosphates such as glucose-6-phosphate with the obligatory exchange of inorganic phosphate or organophosphate	79	123	0.6422764227642277	NE	NE	NE	NE	NA	NE	NA
168	SAOUHSC_00184	SAOUHSC_00184	Response regulator receiver domain protein	46	73	0.6301369863013698	NE	NE	NE	NE	NA	NE	NA
169	SAOUHSC_00185	SAOUHSC_00185	conserved hypothetical protein	106	155	0.6838709677419355	NE	NE	NE	NE	NA	NE	NA
170	SAOUHSC_00186	SAOUHSC_00186	lipoprotein%2C putative	43	80	0.5375	NE	NE	NE	NE	NA	NE	NA
171	SAOUHSC_00187	SAOUHSC_00187	formate acetyltransferase	123	193	0.6373056994818653	NE	NE	NE	NE	NA	NE	NA
172	SAOUHSC_00188	SAOUHSC_00188	pyruvate formate-lyase 1 activating enzyme%2C putative	39	62	0.6290322580645161	NE	NE	NE	NE	NA	NE	NA
173	SAOUHSC_00190	SAOUHSC_00190	conserved hypothetical protein	127	185	0.6864864864864865	NE	NE	NE	NE	NA	NE	NA
174	SAOUHSC_00191	SAOUHSC_00191	conserved hypothetical protein	18	33	0.5454545454545454	NE	NE	NE	NE	NA	NE	NA
175	SAOUHSC_00192	SAOUHSC_00192	coagulase	120	171	0.7017543859649122	NE	NE	NE	NE	NA	NE	NA
176	SAOUHSC_00193	SAOUHSC_00193	-	7	9	0.7777777777777778	S	NE	NE	NE	NA	NE	NA
177	SAOUHSC_00195	SAOUHSC_00195	acetyl-CoA acetyltransferase%2C putative	55	80	0.6875	NE	NE	NE	NE	NA	NE	NA
178	SAOUHSC_00196	SAOUHSC_00196	conserved hypothetical protein	125	185	0.6756756756756757	NE	NE	NE	NE	NA	NE	NA
179	SAOUHSC_00197	SAOUHSC_00197	conserved hypothetical protein	65	100	0.65	NE	NE	NE	NE	NA	NE	NA
